bang,ym,so_thuc_the,thuc_the_nhieu_phien_ban,ty_le_pct
dim_products,202606,1273,1260,98.98
dim_products,202607,1275,5,0.39
dim_stores,202504,59122,36689,62.06
dim_stores,202505,59122,36689,62.06
dim_stores,202506,59122,36689,62.06
dim_stores,202507,59122,36689,62.06
dim_stores,202508,59122,36689,62.06
dim_stores,202509,59122,36689,62.06
dim_stores,202510,59122,36689,62.06
dim_stores,202511,59122,36689,62.06
dim_stores,202512,59122,36689,62.06
dim_stores,202601,59122,36689,62.06
dim_stores,202602,59122,36689,62.06
dim_stores,202603,59122,36689,62.06
dim_stores,202604,59122,36689,62.06
dim_stores,202605,59122,36689,62.06
dim_stores,202606,59128,36749,62.15
dim_stores,202607,59154,36688,62.02
