ym,so_dong,so_cua_hang,doanh_thu,thung,dong_hang_tang_pct,chiet_khau_pct,ck_pct_do_lech_chuan,doanh_thu_tren_thung,hs_doanh_thu,hs_thung,hs_don_gia
202504,44703,2616,31827553107.0,89503.8077,0.000,0.887,4.774,355600.0,,,
202505,65709,3045,41827298199.92,137291.1983,0.000,1.713,4.208,304661.0,1.314,1.534,0.857
202506,67417,2804,43403065020.84,140500.1994,0.000,31.679,4.351,308918.0,1.038,1.023,1.014
202507,63890,2997,42211467244.96,122060.429,0.000,1.744,4.557,345824.0,0.973,0.869,1.119
202508,75455,3492,47302608975.59,122348.2051,0.011,8.360,3.918,386623.0,1.121,1.002,1.118
202509,57663,3264,35571632990.58,103551.3196,0.005,0.789,3.927,343517.0,0.752,0.846,0.889
202510,54582,3181,36460439454.96,89618.1867,0.007,1.853,3.924,406842.0,1.025,0.865,1.184
202511,49591,2961,34939864071.93,91863.3763,0.008,1.820,4.007,380346.0,0.958,1.025,0.935
202512,62297,3372,41856389698.63,123556.8381,0.002,0.584,3.881,338762.0,1.198,1.345,0.891
202601,52130,2839,43059277167.93,107798.1447,13.626,5.793,12.629,399444.0,1.029,0.872,1.179
202602,45348,3050,35618253342.95,96958.0962,11.610,6.113,12.969,367357.0,0.827,0.899,0.92
202603,62627,3512,74517030409.85,157484.1885,10.700,12.095,11.545,473172.0,2.092,1.624,1.288
202604,64549,3790,44243625292.23,109990.5974,20.395,7.568,12.957,402249.0,0.594,0.698,0.85
202605,75895,3661,54640814082.27,175153.2685,20.221,10.711,12.665,311960.0,1.235,1.592,0.776
202606,72852,4157,56617850669.4,129414.1113,23.911,5.158,10.466,437494.0,1.036,0.739,1.402
202607,62539,3597,52915572279.63,127543.5943,22.439,4.675,11.872,414882.0,0.935,0.986,0.948
