bang,cot,kieu,dong,khuyet_pct,so_gia_tri_khac_nhau,luc_luong_pct,min,max,trung_binh,do_lech_chuan,p01,p25,trung_vi,p75,p95,p99,so_dong_bang_0,so_dong_am,so_dong_chuoi_rong,hang_so
dim_account_channels,channel_code,character varying,127,0.0,127,100.0,2,6,,,,,,,,,,,0,false
dim_account_channels,channel_name,character varying,127,0.0,94,74.016,6,50,,,,,,,,,,,0,false
dim_account_channels,channel_level,integer,127,0.0,3,2.362,1,3,2.4488188976377954,0.7066463038168369,1.0,2.0,3.0,3.0,3.0,3.0,0,0,,false
dim_account_channels,level_1_code,character varying,127,7.874,6,5.128,0,5,,,,,,,,,,,7,false
dim_account_channels,level_2_code,character varying,127,7.874,39,33.333,0,5,,,,,,,,,,,45,false
dim_account_channels,channel_path,character varying,127,0.0,127,100.0,4,19,,,,,,,,,,,0,false
dim_account_channels,id,bigint,127,0.0,127,100.0,1,127,64.0,36.66060555964672,2.26,32.5,64.0,95.5,120.69999999999999,125.74,0,0,,false
dim_account_channels,source_refs,jsonb,127,100.0,,,,,,,,,,,,,,,,false
dim_account_channels,batch_id,bigint,127,7.874,1,0.855,241697,241697,241697.0,0.0,241697.0,241697.0,241697.0,241697.0,241697.0,241697.0,0,0,,true
dim_account_channels,created_at,timestamp with time zone,127,0.0,4,3.15,2026-06-09 08:15:21.188057+00,2026-08-26 09:20:08.285168+00,,,,,,,,,,,,false
dim_account_channels,updated_at,timestamp with time zone,127,0.0,3,2.362,2026-06-18 10:51:04.299497+00,2026-08-28 09:10:15.388617+00,,,,,,,,,,,,false
dim_assets,asset_code,character varying,32878,0.0,20179,61.375,1,34,,,,,,,,,,,0,false
dim_assets,asset_name,character varying,32878,99.997,1,100.0,13,13,,,,,,,,,,,0,true
dim_assets,asset_category,character varying,32878,3.726,53,0.167,0,10,,,,,,,,,,,3160,false
dim_assets,asset_brand,character varying,32878,24.548,20,0.081,0,7,,,,,,,,,,,74,false
dim_assets,asset_model,character varying,32878,0.0,85,0.259,0,12,,,,,,,,,,,10,false
dim_assets,serial_number,character varying,32878,0.0,20179,61.375,1,34,,,,,,,,,,,0,false
dim_assets,asset_supplier,character varying,32878,0.0,5,0.015,0,10,,,,,,,,,,,25,false
dim_assets,row_hash,character varying,32878,0.0,32271,98.154,12,32,,,,,,,,,,,0,false
dim_assets,id,bigint,32878,0.0,32878,100.0,-1,32971,16439.24378003528,9492.342051901787,328.77,8219.25,16438.5,24657.75,31233.149999999998,32555.359999999986,0,1,,false
dim_assets,source_refs,jsonb,32878,0.0,,,,,,,,,,,,,,,,false
