bang,cot,kieu,nhom,vai_tro,khuyet_pct,so_gia_tri_khac_nhau,min,p25,trung_vi,p75,p99,max,do_lech_bowley,ty_so_duoi_p99_p50,xu_ly_khuyet,bien_doi,ma_hoa,cach_ma_hoa,chan_ngoai_lai
dim_account_channels,channel_code,character varying,phân loại (khoá ngoại),khoá ngoại — dùng như biến phân loại,0.0,127,2.0,,,,,6.0,,,không có khuyết thiếu,—,"gần như không trùng — không mã hoá được, chỉ dùng làm khoá",không mã hoá được — chỉ dùng làm khoá,—
dim_account_channels,channel_name,character varying,văn bản / phân loại,đặc trưng,0.0,94,6.0,,,,,50.0,,,không có khuyết thiếu,—,"mã hoá theo nhãn (target encoding), 94 nhóm — tính trong từng fold",mã hoá theo nhãn (target encoding),—
dim_account_channels,channel_level,integer,số rời rạc,đặc trưng,0.0,3,1.0,2.0,3.0,3.0,3.0,3.0,-1.0,1.0,không có khuyết thiếu,lệch trái — cân nhắc bình phương hoặc để nguyên,one-hot (3 nhóm),one-hot,chặn trên IQR = 4.5; không có giá trị vượt
dim_account_channels,level_1_code,character varying,phân loại (khoá ngoại),khoá ngoại — dùng như biến phân loại,7.874,6,0.0,,,,,5.0,,,"khuyết 7.874% — gộp vào nhóm ""(không rõ)"" VÀ thêm cờ khuyết",—,one-hot (6 nhóm),one-hot,—
dim_account_channels,level_2_code,character varying,phân loại (khoá ngoại),khoá ngoại — dùng như biến phân loại,7.874,39,0.0,,,,,5.0,,,"khuyết 7.874% — gộp vào nhóm ""(không rõ)"" VÀ thêm cờ khuyết",—,"mã hoá theo nhãn (target encoding), 39 nhóm — tính trong từng fold",mã hoá theo nhãn (target encoding),—
dim_account_channels,channel_path,character varying,văn bản / phân loại,đặc trưng,0.0,127,4.0,,,,,19.0,,,không có khuyết thiếu,—,"gần như không trùng — không mã hoá được, chỉ dùng làm khoá",không mã hoá được — chỉ dùng làm khoá,—
dim_account_channels,id,bigint,số liên tục,cột kỹ thuật — không phải đặc trưng,0.0,127,1.0,32.5,64.0,95.5,125.74,127.0,0.0,1.96,không có khuyết thiếu,—,—,—,—
dim_account_channels,source_refs,jsonb,jsonb,BỎ — rỗng hoàn toàn,100.0,,,,,,,,,,bỏ cột,—,—,—,—
dim_account_channels,batch_id,bigint,số rời rạc,BỎ — hằng số,7.874,1,241697.0,241697.0,241697.0,241697.0,241697.0,241697.0,,1.0,khuyết 7.874% — điền trung vị VÀ thêm cờ khuyết,—,—,—,—
dim_account_channels,created_at,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,4,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_account_channels,updated_at,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,3,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_assets,asset_code,character varying,phân loại (khoá ngoại),khoá ngoại — dùng như biến phân loại,0.0,20179,1.0,,,,,34.0,,,không có khuyết thiếu,—,"20179 nhóm — gộp nhóm hiếm trước, rồi mã hoá theo nhãn",gộp nhóm hiếm rồi mã hoá theo nhãn,—
dim_assets,asset_name,character varying,văn bản / phân loại,BỎ — hằng số,99.997,1,13.0,,,,,13.0,,,"khuyết 99.997% — giữ CỜ có/không, đừng điền giá trị",—,—,—,—
dim_assets,asset_category,character varying,văn bản / phân loại,đặc trưng,3.726,53,0.0,,,,,10.0,,,"gộp vào nhóm ""(không rõ)""",—,"mã hoá theo nhãn (target encoding), 53 nhóm — tính trong từng fold",mã hoá theo nhãn (target encoding),—
dim_assets,asset_brand,character varying,văn bản / phân loại,đặc trưng,24.548,20,0.0,,,,,7.0,,,"khuyết 24.548% — gộp vào nhóm ""(không rõ)"" VÀ thêm cờ khuyết",—,"mã hoá theo nhãn (target encoding), 20 nhóm — tính trong từng fold",mã hoá theo nhãn (target encoding),—
dim_assets,asset_model,character varying,văn bản / phân loại,đặc trưng,0.0,85,0.0,,,,,12.0,,,không có khuyết thiếu,—,"mã hoá theo nhãn (target encoding), 85 nhóm — tính trong từng fold",mã hoá theo nhãn (target encoding),—
dim_assets,serial_number,character varying,văn bản / phân loại,đặc trưng,0.0,20179,1.0,,,,,34.0,,,không có khuyết thiếu,—,"20179 nhóm — gộp nhóm hiếm trước, rồi mã hoá theo nhãn",gộp nhóm hiếm rồi mã hoá theo nhãn,—
dim_assets,asset_supplier,character varying,văn bản / phân loại,đặc trưng,0.0,5,0.0,,,,,10.0,,,không có khuyết thiếu,—,one-hot (5 nhóm),one-hot,—
dim_assets,row_hash,character varying,văn bản / phân loại,cột kỹ thuật — không phải đặc trưng,0.0,32271,12.0,,,,,32.0,,,không có khuyết thiếu,—,—,—,—
dim_assets,id,bigint,số liên tục,cột kỹ thuật — không phải đặc trưng,0.0,32878,-1.0,8219.25,16438.5,24657.75,32555.359999999986,32971.0,0.0,1.98,không có khuyết thiếu,—,—,—,—
dim_assets,source_refs,jsonb,jsonb,cột kỹ thuật — không phải đặc trưng,0.0,,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_assets,batch_id,bigint,số liên tục,cột kỹ thuật — không phải đặc trưng,0.0,833,0.0,22.0,22.0,200854.0,211879.77999999892,241675.0,1.0,9630.9,không có khuyết thiếu,—,—,—,—
dim_assets,valid_from,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,833,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_assets,valid_to,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,61.375,825,,,,,,,,,"khuyết 61.375% — giữ CỜ có/không, đừng điền giá trị",—,—,—,—
dim_assets,is_current,boolean,nhị phân,cột kỹ thuật — không phải đặc trưng,0.0,2,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_assets,created_at,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,833,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_assets,updated_at,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,1250,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_categories,category_code,character varying,phân loại (khoá ngoại),khoá ngoại — dùng như biến phân loại,0.0,277,1.0,,,,,7.0,,,không có khuyết thiếu,—,"gần như không trùng — không mã hoá được, chỉ dùng làm khoá",không mã hoá được — chỉ dùng làm khoá,—
dim_categories,category_name,character varying,văn bản / phân loại,đặc trưng,0.0,276,3.0,,,,,89.0,,,không có khuyết thiếu,—,"gần như không trùng — không mã hoá được, chỉ dùng làm khoá",không mã hoá được — chỉ dùng làm khoá,—
dim_categories,row_hash,character varying,văn bản / phân loại,cột kỹ thuật — không phải đặc trưng,0.0,277,12.0,,,,,32.0,,,không có khuyết thiếu,—,—,—,—
dim_categories,id,bigint,số liên tục,cột kỹ thuật — không phải đặc trưng,0.0,277,-1.0,69.0,138.0,207.0,273.24,276.0,0.0,1.98,không có khuyết thiếu,—,—,—,—
dim_categories,source_refs,jsonb,jsonb,cột kỹ thuật — không phải đặc trưng,0.0,,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_categories,batch_id,bigint,số rời rạc,cột kỹ thuật — không phải đặc trưng,0.0,2,0.0,11.0,11.0,11.0,11.0,11.0,,1.0,không có khuyết thiếu,—,—,—,—
dim_categories,valid_from,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,2,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_categories,valid_to,timestamp with time zone,thời gian,BỎ — rỗng hoàn toàn,100.0,0,,,,,,,,,bỏ cột,—,—,—,—
dim_categories,is_current,boolean,nhị phân,BỎ — hằng số,0.0,1,,,,,,,,,không có khuyết thiếu,—,—,—,—
