bang,so_cot,dong_da_quet,ty_le_lay_mau_pct,loi
dwh.dim_account_channels,11,127,,
dwh.dim_assets,16,32878,,
dwh.dim_categories,11,277,,
dwh.dim_chains,13,9638,,
dwh.dim_dates,15,4018,,
dwh.dim_delivery_status,14,103,,
dwh.dim_delivery_types,7,5,,
dwh.dim_distributors,18,89,,
dwh.dim_employees,23,6699,,
dwh.dim_inventory_policy,12,0,,
dwh.dim_locators,19,315,,
dwh.dim_order_status,13,10,,
dwh.dim_order_types,10,15,,
dwh.dim_otif_reason,14,22,,
dwh.dim_price_lists,14,364,,
dwh.dim_product_brands,14,299431,57.1466,
dwh.dim_product_prices,16,9085,,
dwh.dim_products,27,2543,,
dwh.dim_promotions,15,0,,
dwh.dim_sales_positions,7,7,,
dwh.dim_shippers,13,57292,,
dwh.dim_site_accounts,8,7,,
dwh.dim_site_domains,12,137,,
dwh.dim_stores,25,301391,86.2121,
dwh.dim_sub_inventories,15,188,,
dwh.dim_suppliers,12,63,,
dwh.dim_warehouse_capacity,11,0,,
dwh.dim_warehouse_target,13,0,,
dwh.dim_warehouses,17,39,,
dwh.dim_weather_locations,8,64,,
dwh.dms_notify_ledger,2,67945,,
dwh.dwh_batch_logs,10,241005,,
dwh.fact_asset_activities,9,0,,
dwh.fact_asset_audits,13,216302,,
dwh.fact_asset_inventory,23,20178,,
dwh.fact_asset_placements,11,0,,
dwh.fact_delivery_details,45,301218,84.0897,
dwh.fact_inventory_daily_balances,14,116787,,
dwh.fact_inventory_lot_snapshot,34,301764,28.7288,
dwh.fact_inventory_transactions,18,173448,,
dwh.fact_order_fulfillment,36,300243,61.6875,
dwh.fact_order_lines,70,297238,12.7787,
dwh.fact_order_status_timeline,16,302887,58.7391,
dwh.fact_promo_budget_available,42,182571,,
dwh.fact_roadmap_stores,10,17942,,
dwh.fact_roadmaps,16,268,,
dwh.fact_sales_targets,11,270,,
dwh.fact_trade_promo,19,0,,
dwh.fact_visits,22,302926,67.2406,
dwh.fact_weather_forecast,13,154161,,
dwh.zz_archive_om_orphans_20260804,68,446,,
