bang,truong,dang,so_dong_mau,khuyet_pct,so_gia_tri_khac_nhau,diem_thong_tin,danh_gia
dim_product_brands,brand_path,phân loại,20000,0.0,20000,2.3813,thông tin phong phú
dms_notify_ledger,order_code,phân loại,20000,0.0,20000,2.3813,thông tin phong phú
dwh_batch_logs,data_to,phân loại,20000,0.0,20000,2.3813,thông tin phong phú
dwh_batch_logs,updated_at,phân loại,20000,0.0,19999,2.3813,thông tin phong phú
fact_asset_inventory,source_refs,phân loại,20000,0.0,20000,2.3813,thông tin phong phú
fact_asset_inventory,serial,phân loại,20000,0.0,20000,2.3813,thông tin phong phú
fact_inventory_transactions,source_refs,phân loại,20000,0.0,20000,2.3813,thông tin phong phú
fact_order_fulfillment,order_code,phân loại,20000,0.0,20000,2.3813,thông tin phong phú
fact_order_fulfillment,source_refs,phân loại,20000,0.0,20000,2.3813,thông tin phong phú
fact_order_lines,source_refs,phân loại,20000,0.0,19999,2.3813,thông tin phong phú
fact_order_status_timeline,order_code,phân loại,20000,0.0,20000,2.3813,thông tin phong phú
fact_promo_budget_available,source_refs,phân loại,20000,0.0,20000,2.3813,thông tin phong phú
fact_visits,source_refs,phân loại,20000,0.0,20000,2.3813,thông tin phong phú
fact_visits,updated_at,phân loại,20000,0.0,20000,2.3813,thông tin phong phú
dwh_batch_logs,data_from,phân loại,20000,0.0,19990,2.3811,thông tin phong phú
fact_order_fulfillment,order_timestamp,phân loại,20000,0.0,19940,2.3801,thông tin phong phú
fact_order_status_timeline,pending_at,phân loại,20000,0.0,19898,2.3795,thông tin phong phú
dim_assets,row_hash,phân loại,20000,0.0,19884,2.3793,thông tin phong phú
fact_roadmap_stores,source_store_code,phân loại,17942,0.0,17942,2.3552,thông tin phong phú
fact_roadmap_stores,source_refs,phân loại,17942,0.0,17942,2.3552,thông tin phong phú
fact_asset_audits,audit_date,phân loại,20000,0.0,17667,2.3372,thông tin phong phú
dim_assets,asset_code,phân loại,20000,0.0,16611,2.3134,thông tin phong phú
dim_assets,serial_number,phân loại,20000,0.0,16611,2.3134,thông tin phong phú
fact_promo_budget_available,row_hash,phân loại,20000,0.0,15712,2.3023,thông tin phong phú
dim_stores,row_hash,phân loại,20000,0.0,15112,2.288,thông tin phong phú
dim_stores,source_refs,phân loại,20000,0.0,14984,2.2854,thông tin phong phú
dim_stores,store_code,phân loại,20000,0.0,14876,2.2829,thông tin phong phú
fact_order_status_timeline,approved_at,phân loại,20000,4.865,18872,2.2512,thông tin phong phú
dwh_batch_logs,created_at,phân loại,20000,0.0,14961,2.2479,thông tin phong phú
fact_order_fulfillment,dms_order_code,phân loại,20000,5.79,18831,2.2295,thông tin phong phú
dim_chains,chain_code,phân loại,9638,0.0,9638,2.2058,thông tin phong phú
dim_chains,row_hash,phân loại,9638,0.0,9638,2.2058,thông tin phong phú
dim_chains,chain_name,phân loại,9638,0.0,9603,2.2045,thông tin phong phú
fact_order_lines,row_hash,phân loại,20000,5.885,16742,2.1902,thông tin phong phú
fact_inventory_lot_snapshot,source_refs,phân loại,20000,0.0,16865,2.1591,thông tin phong phú
fact_order_lines,order_code,phân loại,20000,0.0,10500,2.1591,thông tin phong phú
fact_order_lines,order_timestamp,phân loại,20000,0.0,10480,2.1583,thông tin phong phú
fact_asset_audits,qr_code,phân loại,20000,0.0,7727,2.0996,thông tin phong phú
fact_visits,checkin_at,phân loại,20000,11.36,17624,2.0833,thông tin phong phú
fact_promo_budget_available,order_no,phân loại,20000,0.43,8357,2.0813,thông tin phong phú
fact_visits,checkout_at,phân loại,20000,11.57,17457,2.0758,thông tin phong phú
fact_order_lines,dms_order_code,phân loại,20000,4.08,9987,2.0592,thông tin phong phú
fact_promo_budget_available,invoice_no,phân loại,20000,2.185,8653,2.0576,thông tin phong phú
dim_stores,store_name,phân loại,20000,0.0,11315,2.05,thông tin phong phú
fact_inventory_transactions,description,phân loại,20000,0.03,7061,2.0409,thông tin phong phú
fact_delivery_details,delivery_note_code,phân loại,20000,0.0,6222,2.0308,thông tin phong phú
fact_delivery_details,source_refs,phân loại,20000,0.0,6222,2.0308,thông tin phong phú
fact_delivery_details,so_number,phân loại,20000,0.0,6212,2.0302,thông tin phong phú
dim_dates,full_date,phân loại,4018,0.0,4018,1.9954,thông tin phong phú
fact_inventory_transactions,transaction_date,phân loại,20000,0.0,5113,1.9791,thông tin phong phú
fact_delivery_details,pod_image_url,phân loại,20000,0.0,5790,1.9517,thông tin phong phú
dim_products,row_hash,phân loại,2543,0.0,2543,1.8854,thông tin phong phú
dim_products,valid_from,phân loại,2543,0.0,2543,1.8854,thông tin phong phú
dim_products,created_at,phân loại,2543,0.0,2543,1.8854,thông tin phong phú
