ym,ngay_co_don,so_dong,so_cua_hang,so_sku,thung,doanh_thu,dong_moi_thung,ty_le_erp_pct,ket_luan
202504,27,44703,2616,161,89504.0,31827553107.0,355600.0,0.0,bình thường
202505,30,65009,3045,175,136989.0,41827298200.0,305334.0,0.0,bình thường
202506,29,67178,2804,183,140373.0,43403065021.0,309197.0,0.0,bình thường
202507,30,63105,2997,169,121562.0,42211466843.0,347243.0,0.0,bình thường
202508,30,75131,3492,175,122087.0,47302608886.0,387451.0,0.1,bình thường
202509,27,57662,3264,167,103551.0,35571632991.0,343520.0,0.1,bình thường
202510,29,54332,3181,168,89580.0,36460439117.0,407014.0,0.1,bình thường
202511,27,49385,2956,174,91852.0,34939862939.0,380394.0,0.0,bình thường
202512,27,61865,3372,159,123439.0,41856389699.0,339085.0,0.1,bình thường
202601,27,49793,2755,168,106964.0,43059277164.0,402557.0,96.4,ĐỔI NGUỒN GHI NHẬN
202602,19,44239,3034,165,96759.0,35618253343.0,368113.0,95.8,bình thường
202603,27,61297,3482,180,146300.0,74517030410.0,509343.0,68.7,bình thường
202604,26,61724,3750,168,103485.0,44243625292.0,427537.0,96.6,bình thường
202605,29,72283,3614,173,118379.0,54615949483.0,461364.0,95.7,bình thường
202606,27,71248,4142,189,126064.0,56520868821.0,448351.0,97.5,bình thường
202607,28,61071,3561,181,121899.0,52342191733.0,429390.0,98.6,bình thường
202608,28,70970,5372,194,142418.0,57257054707.0,402035.0,98.2,bình thường
