store_brand_code,so_cua_hang,nhan_tu_chuoi,tinh_trang
VINMART+,2784,WINPLUS · WIN_NHOM,ok
WIN_RURAL,2382,WINPLUS · WIN_NHOM,ok
BHX,881,BHX,ok
CIRCLE_K,559,CIRCLE_K,ok
COOPFOOD,396,COOPFOOD · COOP_NHOM,ok
WINLIFE,283,WINPLUS · WIN_NHOM,ok
KINGFOOD,239,KINGFOOD,ok
MINISTOP,220,MINISTOP,ok
FAMILY,218,FAMILY,ok
COOPSMILE,180,COOP_NHOM,ok
SATRA_FOOD,175,SATRA · SATRA_FOOD,ok
VINMART,137,WINMART · WIN_NHOM,ok
COOPMART,124,COOPMART · COOP_NHOM,ok
BRG,97,BRG,ok
GS25,72,GS25,ok
BIGC,61,BIGC,ok
MEGA,57,MEGA,ok
B'SMART,52,BSMART,ok
OKONO,24,"",CHƯA ÁNH XẠ — cửa hàng không bao giờ nhận được khuyến mại
COOPCHEER,22,COOP_NHOM,ok
LOTTE_MART,19,LOTTE,ok
AN_NAM,18,AN_NAM,ok
AEON,17,AEON,ok
CITI,14,CITI,ok
7ELEVEN,14,7ELEVEN,ok
FAMER_MARKET,13,FARMER_MARKET,ok
SAIGON_HD,12,"",CHƯA ÁNH XẠ — cửa hàng không bao giờ nhận được khuyến mại
MAXVALU,11,AEON_MAXVALU,ok
TOP_MARKET,9,TOPS,ok
COOP_FINELIFE,7,COOP_NHOM,ok
COOPXTRA,6,COOPXTRA · COOP_NHOM,ok
SATRA_MART,5,SATRA,ok
EMART,3,EMART,ok
CON_CUNG,2,"",CHƯA ÁNH XẠ — cửa hàng không bao giờ nhận được khuyến mại
IMF,1,"",CHƯA ÁNH XẠ — cửa hàng không bao giờ nhận được khuyến mại
PHARMACITY,1,PHARMACITY,ok
