chuoi_chuan,muc_phan_bo,so_dong,so_ctkm,nguyen_van
CRV,KHONG_XAC_DINH,40,12,CRV
( EXCL BACH HOA XANH ),KHONG_XAC_DINH,22,2,"TOTAL MT
( excl Bách Hóa Xanh )"
CRV TRUONG CHINH,KHONG_XAC_DINH,16,4,"CRV DĨ AN
CRV PHÚ THẠNH
CRV TRƯỜNG CHINH
CRV MIỀN ĐÔNG
CRV GÒ VẤP
CRV CẦN THƠ
CRV ĐÀ NẴNG
CRV NHA TRANG
CRV MỸ THO
CRV HUẾ"
CRV HUE,KHONG_XAC_DINH,16,4,"CRV DĨ AN
CRV PHÚ THẠNH
CRV TRƯỜNG CHINH
CRV MIỀN ĐÔNG
CRV GÒ VẤP
CRV CẦN THƠ
CRV ĐÀ NẴNG
CRV NHA TRANG
CRV MỸ THO
CRV HUẾ"
CRV GO VAP,KHONG_XAC_DINH,16,4,"CRV DĨ AN
CRV PHÚ THẠNH
CRV TRƯỜNG CHINH
CRV MIỀN ĐÔNG
CRV GÒ VẤP
CRV CẦN THƠ
CRV ĐÀ NẴNG
CRV NHA TRANG
CRV MỸ THO
CRV HUẾ"
CRV MIEN DONG,KHONG_XAC_DINH,16,4,"CRV DĨ AN
CRV PHÚ THẠNH
CRV TRƯỜNG CHINH
CRV MIỀN ĐÔNG
CRV GÒ VẤP
CRV CẦN THƠ
CRV ĐÀ NẴNG
CRV NHA TRANG
CRV MỸ THO
CRV HUẾ"
CRV MY THO,KHONG_XAC_DINH,16,4,"CRV DĨ AN
CRV PHÚ THẠNH
CRV TRƯỜNG CHINH
CRV MIỀN ĐÔNG
CRV GÒ VẤP
CRV CẦN THƠ
CRV ĐÀ NẴNG
CRV NHA TRANG
CRV MỸ THO
CRV HUẾ"
CRV CAN THO,KHONG_XAC_DINH,16,4,"CRV DĨ AN
CRV PHÚ THẠNH
CRV TRƯỜNG CHINH
CRV MIỀN ĐÔNG
CRV GÒ VẤP
CRV CẦN THƠ
CRV ĐÀ NẴNG
CRV NHA TRANG
CRV MỸ THO
CRV HUẾ"
CRV PHU THANH,KHONG_XAC_DINH,16,4,"CRV DĨ AN
CRV PHÚ THẠNH
CRV TRƯỜNG CHINH
CRV MIỀN ĐÔNG
CRV GÒ VẤP
CRV CẦN THƠ
CRV ĐÀ NẴNG
CRV NHA TRANG
CRV MỸ THO
CRV HUẾ"
CRV DA NANG,KHONG_XAC_DINH,16,4,"CRV DĨ AN
CRV PHÚ THẠNH
CRV TRƯỜNG CHINH
CRV MIỀN ĐÔNG
CRV GÒ VẤP
CRV CẦN THƠ
CRV ĐÀ NẴNG
CRV NHA TRANG
CRV MỸ THO
CRV HUẾ"
CRV DI AN,KHONG_XAC_DINH,16,4,"CRV DĨ AN
CRV PHÚ THẠNH
CRV TRƯỜNG CHINH
CRV MIỀN ĐÔNG
CRV GÒ VẤP
CRV CẦN THƠ
CRV ĐÀ NẴNG
CRV NHA TRANG
CRV MỸ THO
CRV HUẾ"
CRV NHA TRANG,KHONG_XAC_DINH,16,4,"CRV DĨ AN
CRV PHÚ THẠNH
CRV TRƯỜNG CHINH
CRV MIỀN ĐÔNG
CRV GÒ VẤP
CRV CẦN THƠ
CRV ĐÀ NẴNG
CRV NHA TRANG
CRV MỸ THO
CRV HUẾ"
JOYCO,KHONG_XAC_DINH,11,2,Hệ thống Joyco
3 SACH,KHONG_XAC_DINH,11,3,Hệ thống 3 Sạch
GENSHAI,KHONG_XAC_DINH,11,2,GENSHAI
SATRA/ STRA FOOD,KHONG_XAC_DINH,7,1,SATRA/ STRA FOOD
KIMI PHARMACY/ AMART,KHONG_XAC_DINH,7,1,KIMI PHARMACY/ AMART
JMART,KHONG_XAC_DINH,7,1,Hệ thống Jmart
BUSYMING,KHONG_XAC_DINH,5,1,Hệ thống Busyming
MENAS,KHONG_XAC_DINH,5,1,Hệ thống Menas
NHA SACH NHAN VAN,KHONG_XAC_DINH,4,1,Hệ thống Nhà Sách Nhân Văn
TEN CUA HANG,KHONG_XAC_DINH,3,1,"Tên cửa hàng
WM+ QNM Phong Lục Tây, Điện Thắng N
WM+ QNM 153 Quốc Lộ 1A, Điện Phương
WM+ QNM 199 Lý Thái Tổ, Điện Bàn
WM+ QNM TĐ 1774, TBĐ 19, Đường DH3
WM+ DNG Lô 160A ĐT 605, Xã Hòa Châu
WM+ QNM Ngọc Vinh, Điện Bàn
WM+ DNG TĐS 218&312, TBĐ 40, QL 1A
WM+ QNM 136 ĐT609, Điện Thọ
WM+ DNG 111 Phan Văn Đáng"
