ym,so_dong,legacy_promo_count,so_ma_hang,so_chuoi,giam_pct_tb
202408,3,1,3,1,0.3149
202412,3,0,3,1,0.2444
202501,42,9,30,7,0.2478
202502,39,15,30,8,0.2538
202503,99,35,51,13,0.2239
202504,79,33,47,13,0.2333
202505,402,82,101,18,0.2517
202506,294,74,83,19,0.2443
202507,345,79,81,16,0.2442
202508,387,91,105,20,0.2608
202509,432,77,87,17,0.2621
202510,377,83,92,15,0.2371
202511,411,84,108,14,0.2704
202512,426,83,116,17,0.2625
202601,460,96,90,16,0.2601
202602,373,82,104,16,0.2531
202603,358,87,97,17,0.2411
202604,398,88,118,19,0.2261
202605,466,89,114,19,0.2424
202606,326,79,91,20,0.2502
202607,363,69,88,16,0.2711
202608,44,12,30,7,0.2741
