truong,dang,loai,khuyet_pct,so_gia_tri_khac_nhau,r2_duong_thang,r2_duong_gap_khuc,do_tuyen_tinh,quan_he,di_cung_nhat
gh_qty_dat,số,biết trước kỳ,95.409,869,0.7976,0.1378,5.787,thẳng,gh_qty_nhan (0.9777)
gh_qty_nhan,số,biết trước kỳ,95.409,876,0.8004,0.133,6.02,thẳng,gh_qty_dat (0.9777)
gh_qty_giao,số,biết trước kỳ,95.409,821,0.7133,0.1261,5.655,thẳng,gh_qty_nhan (0.9202)
sla_giao_ngay_tb,số,biết trước kỳ,99.199,157,0.0002,0.0414,0.006,CONG — mô hình tuyến tính sẽ bỏ sót,cach_ngay_giao_tb (-0.2594)
toc_do_ban_hieu_chinh,số,nhãn viết cách khác,84.814,1456,0.7234,0.0349,20.711,thẳng,ngay_co_hang (0.5232)
sl_moi_lan,số,nhãn viết cách khác,66.168,4213,0.6989,0.0106,66.113,thẳng,don_gia_tb (-0.4631)
phut_lam_viec_tb,số,biết trước kỳ,56.211,14480,0.0094,0.0083,1.142,không đáng kể — trường này gần như không liên hệ với nhãn,ngay_ke_hoach_ghe (0.2441)
chain_key,số,biết sau kỳ,69.041,22,0.0,0.007,0.0,không đáng kể — trường này gần như không liên hệ với nhãn,—
ty_le_chiet_khau,số,biết sau kỳ,66.982,11042,0.0001,0.0062,0.012,không đáng kể — trường này gần như không liên hệ với nhãn,tien_chiet_khau (0.9887)
supervisor_id,số,biết sau kỳ,96.866,77,0.0001,0.0054,0.016,không đáng kể — trường này gần như không liên hệ với nhãn,—
qty_thung,số,nhãn viết cách khác,0.0,2764,0.6393,0.005,127.746,không đáng kể — trường này gần như không liên hệ với nhãn,qty_ban (0.9883)
doanh_so,số,nhãn viết cách khác,0.0,25313,0.0229,0.0046,5.032,không đáng kể — trường này gần như không liên hệ với nhãn,qty_thung (0.9739)
asm_id,số,biết sau kỳ,97.428,36,0.0001,0.0044,0.017,không đáng kể — trường này gần như không liên hệ với nhãn,—
ngay_ke_hoach_ghe,số,biết trước kỳ,54.89,30,0.0067,0.0041,1.628,không đáng kể — trường này gần như không liên hệ với nhãn,so_nvbh_ghe (0.3698)
qty_giao,số,biết trước kỳ,0.0,1587,0.9751,0.0039,248.361,không đáng kể — trường này gần như không liên hệ với nhãn,so_dong_eco (0.9739)
tien_co_vat,số,biết trước kỳ,0.0,21879,0.0192,0.0039,4.985,không đáng kể — trường này gần như không liên hệ với nhãn,tien_vat (0.9988)
tien_vat,số,biết trước kỳ,0.0,21405,0.0061,0.0039,1.574,không đáng kể — trường này gần như không liên hệ với nhãn,tien_co_vat (0.9988)
ft_tong_tien,số,biết trước kỳ,11.681,39128,0.0185,0.0038,4.915,không đáng kể — trường này gần như không liên hệ với nhãn,ft_doanh_thu_thuan (0.9999)
ft_doanh_thu_thuan,số,biết trước kỳ,11.681,39269,0.0187,0.0038,4.966,không đáng kể — trường này gần như không liên hệ với nhãn,ft_tong_tien (0.9999)
ft_vat,số,biết trước kỳ,11.681,37595,0.0076,0.0038,2.005,không đáng kể — trường này gần như không liên hệ với nhãn,ft_tong_tien (0.9983)
ngay_mua_dau_thang,số,biết trước kỳ,66.168,32,0.0013,0.0037,0.343,không đáng kể — trường này gần như không liên hệ với nhãn,ngay_mua_cuoi_thang (0.5295)
ngay_mua_cuoi_thang,số,biết trước kỳ,66.168,32,0.0012,0.0032,0.38,không đáng kể — trường này gần như không liên hệ với nhãn,ngay_mua_dau_thang (0.5295)
ft_so_mat_hang,số,biết trước kỳ,11.681,479,0.0165,0.0031,5.245,không đáng kể — trường này gần như không liên hệ với nhãn,ft_vat (0.8986)
ft_so_dong,số,biết trước kỳ,11.681,60,0.0069,0.0027,2.572,không đáng kể — trường này gần như không liên hệ với nhãn,ft_so_don (1.0)
