truong,quyet_dinh,quy_tac,can_cu,loai,khuyet_pct,thong_tin_bit,do_tuyen_tinh,vi_sao
sales_qty_carton,NHÃN,R0,cột sản lượng,nhãn viết cách khác,0.0,1.2924,159.091,"Đây là đại lượng cần dự báo. Chọn cột nào làm nhãn là quyết định QD-07, chưa chốt — xem mục Nhãn dự báo."
product_name,DÙNG,R6,thông tin tương hỗ 0.3484 bit,biết trước kỳ,0.0,0.3484,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
qty_per_carton,DÙNG,R6,thông tin tương hỗ 0.3321 bit,biết trước kỳ,0.004,0.3321,0.084,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
net_weight,DÙNG,R6,thông tin tương hỗ 0.2936 bit,biết trước kỳ,0.013,0.2936,0.002,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
store_name,DÙNG,R6,thông tin tương hỗ 0.1984 bit,biết trước kỳ,0.0,0.1984,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
site_number,DÙNG,R6,thông tin tương hỗ 0.1983 bit,biết trước kỳ,0.0,0.1983,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
promo_budget,DÙNG,R6,thông tin tương hỗ 0.1764 bit,biết trước kỳ,36.52,0.1764,1.059,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
promo_day_weighted_discount_pct,DÙNG,R6,thông tin tương hỗ 0.1714 bit,biết trước kỳ,41.715,0.1714,0.521,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
store_brand_code,DÙNG,R6,thông tin tương hỗ 0.162 bit,biết trước kỳ,0.035,0.162,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
category_code,DÙNG,R6,thông tin tương hỗ 0.1478 bit,biết trước kỳ,0.0,0.1478,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
store_system,DÙNG,R6,thông tin tương hỗ 0.1345 bit,biết trước kỳ,0.0,0.1345,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
months_since_first_purchase,DÙNG,R6,thông tin tương hỗ 0.1289 bit,biết trước kỳ,0.0,0.1289,0.105,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
avg_tmax,DÙNG,R6,thông tin tương hỗ 0.1067 bit,biết trước kỳ,0.094,0.1067,0.301,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
avg_tmin,DÙNG,R6,thông tin tương hỗ 0.1055 bit,biết trước kỳ,0.094,0.1055,0.309,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
total_rainfall,DÙNG,R6,thông tin tương hỗ 0.0998 bit,biết trước kỳ,0.094,0.0998,0.778,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
uom,DÙNG,R6,thông tin tương hỗ 0.0992 bit,biết trước kỳ,0.004,0.0992,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
promo_day_ratio,DÙNG,R6,thông tin tương hỗ 0.0942 bit,biết trước kỳ,0.501,0.0942,0.228,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
pjp_route,DÙNG,R6,thông tin tương hỗ 0.0792 bit,biết trước kỳ,4.128,0.0792,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
promo_forecast_qty,DÙNG,R6,thông tin tương hỗ 0.0731 bit,biết trước kỳ,36.52,0.0731,0.366,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
channel_name,DÙNG,R6,thông tin tương hỗ 0.0479 bit,biết trước kỳ,0.0,0.0479,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
channel_code,DÙNG,R6,thông tin tương hỗ 0.0478 bit,biết trước kỳ,0.0,0.0478,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
shelf_life,DÙNG,R6,thông tin tương hỗ 0.0401 bit,biết trước kỳ,0.004,0.0401,0.872,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
city_name,DÙNG,R6,thông tin tương hỗ 0.0388 bit,biết trước kỳ,0.0,0.0388,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
site_domain_path,DÙNG,R6,thông tin tương hỗ 0.0388 bit,biết trước kỳ,0.0,0.0388,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
promo_has_free_goods,DÙNG,R6,thông tin tương hỗ 0.034 bit,biết trước kỳ,0.501,0.034,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
rain_days,DÙNG,R6,thông tin tương hỗ 0.0291 bit,biết trước kỳ,0.094,0.0291,0.35,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
promo_count,DÙNG,R6,thông tin tương hỗ 0.0227 bit,biết trước kỳ,0.501,0.0227,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
freezer_count,DÙNG,R6,thông tin tương hỗ 0.0152 bit,biết trước kỳ,0.0,0.0152,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
freezer_capacity,DÙNG,R6,thông tin tương hỗ 0.0142 bit,biết trước kỳ,47.468,0.0142,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
planned_visit_days,DÙNG,R6,thông tin tương hỗ 0.0138 bit,biết trước kỳ,55.798,0.0138,1.622,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
promo_allocation_level,DÙNG,R6,thông tin tương hỗ 0.0131 bit,biết trước kỳ,36.588,0.0131,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
promo_has_gift,DÙNG,R6,thông tin tương hỗ 0.0098 bit,biết trước kỳ,0.501,0.0098,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
working_days,DÙNG,R6,thông tin tương hỗ 0.0073 bit,biết trước kỳ,0.0,0.0073,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
calendar_days,DÙNG,R6,thông tin tương hỗ 0.0046 bit,biết trước kỳ,0.0,0.0046,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
promo_has_price_cut,DÙNG,R6,thông tin tương hỗ 0.0038 bit,biết trước kỳ,0.501,0.0038,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
has_promo_data,DÙNG,R6,thông tin tương hỗ 0.0012 bit,biết trước kỳ,0.035,0.0012,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
tax_rate,DÙNG,R6,thông tin tương hỗ 0.0 bit,biết trước kỳ,0.0,0.0,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
account_status,DÙNG,R6,thông tin tương hỗ None bit,biết trước kỳ,0.0,,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
store_group_code,DÙNG,R6,thông tin tương hỗ None bit,biết trước kỳ,0.0,,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
is_legal_entity,DÙNG,R6,thông tin tương hỗ None bit,biết trước kỳ,0.0,,,"Biết trước kỳ, không rò rỉ, đủ độ phủ, không trùng với đặc trưng nào khác."
brand_id,DÙNG — mã hoá phân loại,R2c,định danh,định danh,0.0,0.2724,,"Khoá ngoại trỏ tới một nhóm chứ không phải một dòng — nhãn hàng, ngành hàng, kho phục vụ. Dùng được, nhưng phải mã hoá như biến phân loại chứ không đưa vào dạng số nguyên."
category_id,DÙNG — mã hoá phân loại,R2c,định danh,định danh,0.0,0.1491,,"Khoá ngoại trỏ tới một nhóm chứ không phải một dòng — nhãn hàng, ngành hàng, kho phục vụ. Dùng được, nhưng phải mã hoá như biến phân loại chứ không đưa vào dạng số nguyên."
supplier_id,DÙNG — mã hoá phân loại,R2c,định danh,định danh,0.004,0.0581,,"Khoá ngoại trỏ tới một nhóm chứ không phải một dòng — nhãn hàng, ngành hàng, kho phục vụ. Dùng được, nhưng phải mã hoá như biến phân loại chứ không đưa vào dạng số nguyên."
route_rep_id,DÙNG — mã hoá phân loại,R2c,định danh,định danh,4.128,0.0563,0.288,"Khoá ngoại trỏ tới một nhóm chứ không phải một dòng — nhãn hàng, ngành hàng, kho phục vụ. Dùng được, nhưng phải mã hoá như biến phân loại chứ không đưa vào dạng số nguyên."
serving_warehouse_key,DÙNG — mã hoá phân loại,R2c,định danh,định danh,0.0,0.0255,0.672,"Khoá ngoại trỏ tới một nhóm chứ không phải một dòng — nhãn hàng, ngành hàng, kho phục vụ. Dùng được, nhưng phải mã hoá như biến phân loại chứ không đưa vào dạng số nguyên."
site_domain_level,DÙNG — mã hoá phân loại,R2c,định danh,định danh,0.0,0.0026,,"Khoá ngoại trỏ tới một nhóm chứ không phải một dòng — nhãn hàng, ngành hàng, kho phục vụ. Dùng được, nhưng phải mã hoá như biến phân loại chứ không đưa vào dạng số nguyên."
shipped_qty,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,1.5373,189.265,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
amount_incl_vat,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,1.4498,4.726,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
vat_amount,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,1.4263,1.797,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
order_count,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,0.7377,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
line_status_count,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,0.6643,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
eco_line_count,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,0.6572,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
remaining_warehouse_count,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,0.6494,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
order_type_count,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,0.6478,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
order_source_count,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,0.6474,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
issuing_warehouse_count,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,0.6435,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
has_purchase,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,0.6415,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
discount_amount,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,0.4937,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
inv_total_amount,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,11.822,0.2473,4.808,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
discount_excl_vat,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,0.2463,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
inv_net_revenue,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,11.822,0.2461,4.862,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
inv_vat,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,11.822,0.2443,1.941,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
inv_discount,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,11.822,0.2088,5.946,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
inv_delivered_revenue,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,11.822,0.1519,5.674,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
