bang,loai,dong_uoc_luong,kich_thuoc,so_cot,phan_tich_lan_cuoi
fact_order_lines,bảng,2337112,1898 MB,70,
fact_inventory_lot_snapshot,bảng,1033098,782 MB,34,
fact_promo_budget_available,bảng,182571,252 MB,42,2026-08-28
fact_order_fulfillment,bảng,486322,246 MB,36,
fact_delivery_details,bảng,356762,227 MB,45,2026-08-28
dim_product_brands,bảng,524966,149 MB,14,
fact_visits,bảng,446159,132 MB,22,
dim_stores,bảng,347979,132 MB,25,
fact_order_status_timeline,bảng,510733,101 MB,16,
fact_inventory_transactions,bảng,172442,63 MB,18,
fact_asset_audits,bảng,215226,43 MB,13,
dwh_batch_logs,bảng,239441,40 MB,10,
fact_weather_forecast,bảng,154098,40 MB,13,
fact_inventory_daily_balances,bảng,116786,36 MB,14,2026-08-28
dim_shippers,bảng,56356,13 MB,13,
fact_roadmap_stores,bảng,17948,13 MB,10,2026-08-28
dim_assets,bảng,32855,10032 kB,16,
fact_asset_inventory,bảng,20177,8408 kB,23,
dim_product_prices,bảng,9085,5792 kB,16,
dms_notify_ledger,bảng,67651,4504 kB,2,
dim_employees,bảng,6699,3488 kB,23,2026-08-28
dim_chains,bảng,9633,2632 kB,13,
dim_dates,bảng,4018,1856 kB,15,2026-08-28
dim_products,bảng,2543,1320 kB,27,
fact_roadmaps,bảng,268,440 kB,16,2026-08-28
dim_locators,bảng,315,400 kB,19,2026-08-28
zz_archive_om_orphans_20260804,bảng,446,200 kB,68,
dim_price_lists,bảng,364,184 kB,14,
dim_distributors,bảng,89,184 kB,18,
dim_site_domains,bảng,137,168 kB,12,2026-08-28
dim_categories,bảng,277,168 kB,11,
dim_sub_inventories,bảng,188,160 kB,15,
dim_otif_reason,bảng,22,144 kB,14,2026-08-28
dim_warehouses,bảng,39,136 kB,17,
dim_account_channels,bảng,127,136 kB,11,2026-08-28
fact_sales_targets,bảng,270,128 kB,11,
dim_weather_locations,bảng,64,104 kB,8,
dim_suppliers,bảng,63,104 kB,12,
dim_site_accounts,bảng,7,96 kB,8,2026-08-28
dim_order_status,bảng,10,96 kB,13,2026-08-28
dim_order_types,bảng,15,96 kB,10,2026-08-28
dim_delivery_types,bảng,5,80 kB,7,2026-08-28
dim_delivery_status,bảng,103,80 kB,14,
dim_sales_positions,bảng,7,72 kB,7,2026-08-28
dim_warehouse_target,bảng,0,56 kB,13,
dim_warehouse_capacity,bảng,0,48 kB,11,
dim_inventory_policy,bảng,0,48 kB,12,
fact_asset_placements,bảng,0,48 kB,11,
fact_asset_activities,bảng,0,40 kB,9,
dim_promotions,bảng,0,32 kB,15,
fact_trade_promo,bảng,0,32 kB,19,
v_product_price_current,khung nhìn,0,0 bytes,10,
