ym,san_luong_thung,doanh_thu,so_cua_hang_mua,luot_ghe,ton_kho_lot,ton_kho_cuoi_ky,dong_giao_hang,dong_hoan_tat,giao_dich_kho,dong_ngan_sach_km
202206,13.0,4744195.93,1.0,,,,,1.0,,
202502,6960.0483,3047211957.0,357.0,,,,,434.0,,
202503,3957.3835,1689943705.19,206.0,,,,4.0,254.0,,
202504,161948.794,56660614006.0,7602.0,,,,,17812.0,,
202505,244227.6861,76832071724.92,11723.0,,,,,28422.0,,
202506,259810.2628,82178114931.82,12249.0,,,,,30988.0,,
202507,248893.1959,84853470040.96,12861.0,,,,,35587.0,,
202508,252815.0807,91328122765.13,14116.0,,,,,38353.0,,
202509,202139.8207,65121914226.05,11913.0,,,,,28222.0,,
202510,169830.1944,62526893893.78,11304.0,,,,,26667.0,,
202511,167875.0651,59195972473.03,10386.0,,,,,23487.0,87053.0,
202512,323964.2716,313389764730.38,10915.0,49500.0,,,,25671.0,1076062.0,
202601,193922.5198,78047761591.12,8912.0,43976.0,,,10.0,24066.0,1299552.0,
202602,187373.3819,66859683340.14,8347.0,28528.0,,,,19929.0,1098375.0,
202603,262375.0131,111211882998.58,10330.0,46110.0,,,4891.0,27616.0,1379008.0,
202604,232224.5366,88075611481.41,11036.0,43260.0,,,33222.0,31227.0,1473348.0,
202605,289099.6375,98459392669.47,10906.0,45095.0,,,71353.0,33670.0,1410085.5,
202606,276825.6453,109258230047.67,12621.0,47645.0,359730858.00000006,,93438.0,34505.0,1580134.0,78073.0
202607,261621.642,100398691593.68,10569.0,50507.0,700269488.215559,56489141.00945861,85830.0,30894.0,2831204.000450409,57926.0
202608,237562.8384,90721567151.38,12279.0,46223.0,854438912.279692,56076796.01306188,71252.0,31005.0,1148326.0,47112.0
202609,,,,,,,113.0,,,
202611,,,,,,,197.0,,,
202612,,,,,,,116.0,,,
202702,,,,,,,1.0,,,
202703,,,,,,,6.0,,,
202706,,,,,,,4.0,,,
202708,,,,,,,9.0,,,
202711,,,,,,,74.0,,,
202808,,,,,,,6.0,,,
202908,,,,,,,14.0,,,
203008,,,,,,,10.0,,,
