bang_1,bang_2,so_cap_field,so_cap_lien_he_ro,manh_nhat
dim_product_prices,dim_products,9,5,1.0
fact_order_lines,dim_product_prices,54,8,0.936
fact_inventory_daily_balances,fact_inventory_transactions,12,6,0.91
fact_delivery_details,fact_order_lines,90,48,0.835
fact_inventory_daily_balances,fact_order_lines,72,25,0.826
fact_inventory_lot_snapshot,fact_order_lines,162,79,0.779
fact_delivery_details,fact_inventory_lot_snapshot,45,38,0.778
fact_inventory_daily_balances,fact_inventory_lot_snapshot,36,22,0.725
fact_inventory_transactions,dim_product_prices,6,2,0.724
fact_order_lines,dim_products,54,4,0.716
fact_delivery_details,fact_inventory_daily_balances,20,10,0.714
fact_inventory_lot_snapshot,fact_inventory_transactions,27,12,0.706
fact_inventory_transactions,fact_order_lines,54,19,0.699
fact_delivery_details,fact_inventory_transactions,15,7,0.657
fact_inventory_transactions,dim_products,6,1,0.604
fact_inventory_daily_balances,dim_products,8,2,0.586
fact_inventory_daily_balances,dim_product_prices,8,4,0.54
fact_inventory_lot_snapshot,dim_product_prices,27,0,0.472
fact_inventory_lot_snapshot,dim_products,27,0,0.372
fact_delivery_details,dim_product_prices,15,0,0.366
fact_delivery_details,dim_products,15,0,0.254
