bang_1,field_1,bang_2,field_2,so_dong_chung,spearman,muc_do
fact_order_fulfillment,total_cancelled_revenue,fact_order_lines,cancelled_qty,177977,0.991,liên hệ rõ
fact_order_fulfillment,total_vat,fact_order_lines,amount_incl_vat,177977,0.978,liên hệ rõ
fact_order_fulfillment,total_vat,fact_order_lines,net_revenue,177977,0.978,liên hệ rõ
fact_order_fulfillment,total_vat,fact_order_lines,vat_amount,177977,0.978,liên hệ rõ
fact_order_fulfillment,total_amount,fact_order_lines,amount_incl_vat,177977,0.977,liên hệ rõ
fact_order_fulfillment,total_amount,fact_order_lines,net_revenue,177977,0.977,liên hệ rõ
fact_order_fulfillment,total_amount,fact_order_lines,vat_amount,177977,0.977,liên hệ rõ
fact_order_fulfillment,total_net_revenue,fact_order_lines,amount_incl_vat,177977,0.977,liên hệ rõ
fact_order_fulfillment,total_net_revenue,fact_order_lines,net_revenue,177977,0.977,liên hệ rõ
fact_order_fulfillment,total_net_revenue,fact_order_lines,vat_amount,177977,0.977,liên hệ rõ
fact_order_fulfillment,total_amount,fact_order_lines,amount_before_discount,177977,0.975,liên hệ rõ
fact_order_fulfillment,total_amount,fact_order_lines,amount_before_discount_before_vat,177977,0.975,liên hệ rõ
fact_order_fulfillment,total_vat,fact_order_lines,amount_before_discount,177977,0.975,liên hệ rõ
fact_order_fulfillment,total_vat,fact_order_lines,amount_before_discount_before_vat,177977,0.975,liên hệ rõ
fact_order_fulfillment,total_net_revenue,fact_order_lines,amount_before_discount,177977,0.974,liên hệ rõ
fact_order_fulfillment,total_net_revenue,fact_order_lines,amount_before_discount_before_vat,177977,0.974,liên hệ rõ
fact_order_fulfillment,total_vat,fact_order_lines,sales_qty_carton,176669,0.91,liên hệ rõ
fact_order_fulfillment,total_amount,fact_order_lines,sales_qty_carton,176669,0.907,liên hệ rõ
fact_order_fulfillment,total_net_revenue,fact_order_lines,sales_qty_carton,176669,0.907,liên hệ rõ
fact_order_fulfillment,total_before_discount,fact_order_lines,amount_incl_vat,177977,0.894,liên hệ rõ
fact_order_fulfillment,total_before_discount,fact_order_lines,net_revenue,177977,0.894,liên hệ rõ
fact_order_fulfillment,total_before_discount,fact_order_lines,vat_amount,177977,0.894,liên hệ rõ
fact_order_fulfillment,total_before_discount,fact_order_lines,amount_before_discount,177977,0.892,liên hệ rõ
fact_order_fulfillment,total_before_discount,fact_order_lines,amount_before_discount_before_vat,177977,0.892,liên hệ rõ
fact_order_fulfillment,total_before_discount,fact_order_lines,sales_qty_carton,176669,0.879,liên hệ rõ
fact_order_fulfillment,total_vat,fact_order_lines,sales_qty,177977,0.87,liên hệ rõ
fact_order_fulfillment,total_amount,fact_order_lines,sales_qty,177977,0.866,liên hệ rõ
fact_order_fulfillment,total_net_revenue,fact_order_lines,sales_qty,177977,0.866,liên hệ rõ
fact_order_fulfillment,total_before_discount,fact_order_lines,sales_qty,177977,0.856,liên hệ rõ
fact_order_fulfillment,item_count,fact_order_lines,amount_incl_vat,177977,0.84,liên hệ rõ
fact_order_fulfillment,item_count,fact_order_lines,net_revenue,177977,0.84,liên hệ rõ
fact_order_fulfillment,item_count,fact_order_lines,vat_amount,177977,0.84,liên hệ rõ
fact_order_fulfillment,total_before_discount,fact_order_lines,shipped_qty,177977,0.833,liên hệ rõ
fact_order_fulfillment,item_count,fact_order_lines,amount_before_discount,177977,0.832,liên hệ rõ
fact_order_fulfillment,item_count,fact_order_lines,amount_before_discount_before_vat,177977,0.832,liên hệ rõ
fact_order_fulfillment,total_vat,fact_order_lines,shipped_qty,177977,0.825,liên hệ rõ
fact_order_fulfillment,item_count,fact_order_lines,sales_qty_carton,176669,0.821,liên hệ rõ
fact_order_fulfillment,total_amount,fact_order_lines,shipped_qty,177977,0.82,liên hệ rõ
fact_order_fulfillment,total_net_revenue,fact_order_lines,shipped_qty,177977,0.82,liên hệ rõ
fact_order_fulfillment,item_count,fact_order_lines,sales_qty,177977,0.817,liên hệ rõ
fact_order_fulfillment,item_count,fact_order_lines,shipped_qty,177977,0.781,liên hệ rõ
fact_delivery_details,qty_so,fact_order_lines,shipped_qty,29661,0.747,liên hệ rõ
fact_delivery_details,qty_received,fact_order_lines,shipped_qty,29661,0.746,liên hệ rõ
fact_delivery_details,qty_so,fact_order_lines,sales_qty,29661,0.746,liên hệ rõ
fact_delivery_details,qty_received,fact_order_lines,sales_qty,29661,0.743,liên hệ rõ
fact_delivery_details,attempt_count,fact_order_fulfillment,item_count,25382,0.741,liên hệ rõ
fact_delivery_details,qty_delivered,fact_order_lines,shipped_qty,29661,0.733,liên hệ rõ
fact_delivery_details,qty_delivered,fact_order_lines,sales_qty,29661,0.722,liên hệ rõ
fact_delivery_details,qty_so,fact_order_lines,sales_qty_carton,29558,0.693,liên hệ rõ
fact_delivery_details,qty_received,fact_order_lines,sales_qty_carton,29558,0.688,liên hệ rõ
fact_delivery_details,qty_delivered,fact_order_lines,sales_qty_carton,29558,0.672,liên hệ rõ
fact_delivery_details,attempt_count,fact_order_lines,shipped_qty,29661,0.659,liên hệ rõ
fact_order_fulfillment,total_discount,fact_order_lines,shipped_qty,177977,0.659,liên hệ rõ
fact_delivery_details,attempt_count,fact_order_fulfillment,total_delivered_revenue,25382,0.657,liên hệ rõ
fact_delivery_details,attempt_count,fact_order_fulfillment,total_amount,25382,0.653,liên hệ rõ
fact_delivery_details,attempt_count,fact_order_fulfillment,total_net_revenue,25382,0.653,liên hệ rõ
fact_delivery_details,attempt_count,fact_order_fulfillment,total_vat,25382,0.652,liên hệ rõ
fact_order_fulfillment,total_discount,fact_order_lines,sales_qty_carton,176669,0.652,liên hệ rõ
fact_delivery_details,attempt_count,fact_order_lines,sales_qty,29661,0.65,liên hệ rõ
fact_delivery_details,qty_so,fact_order_fulfillment,total_amount,25382,0.648,liên hệ rõ
fact_delivery_details,qty_so,fact_order_fulfillment,total_net_revenue,25382,0.648,liên hệ rõ
fact_delivery_details,qty_so,fact_order_fulfillment,total_vat,25382,0.648,liên hệ rõ
fact_delivery_details,qty_received,fact_order_fulfillment,total_amount,25382,0.647,liên hệ rõ
fact_delivery_details,qty_received,fact_order_fulfillment,total_net_revenue,25382,0.647,liên hệ rõ
fact_delivery_details,qty_received,fact_order_fulfillment,total_vat,25382,0.647,liên hệ rõ
fact_delivery_details,qty_so,fact_order_fulfillment,total_delivered_revenue,25382,0.647,liên hệ rõ
fact_order_fulfillment,total_discount,fact_order_lines,sales_qty,177977,0.647,liên hệ rõ
fact_delivery_details,qty_received,fact_order_fulfillment,total_delivered_revenue,25382,0.646,liên hệ rõ
fact_delivery_details,attempt_count,fact_order_lines,sales_qty_carton,29558,0.639,liên hệ rõ
fact_delivery_details,attempt_count,fact_order_lines,net_revenue,29661,0.637,liên hệ rõ
fact_delivery_details,attempt_count,fact_order_lines,amount_incl_vat,29661,0.636,liên hệ rõ
fact_delivery_details,attempt_count,fact_order_lines,vat_amount,29661,0.636,liên hệ rõ
fact_delivery_details,qty_received,fact_order_fulfillment,total_before_discount,25382,0.636,liên hệ rõ
fact_delivery_details,qty_so,fact_order_fulfillment,total_before_discount,25382,0.636,liên hệ rõ
fact_delivery_details,qty_so,fact_order_lines,amount_before_discount,29661,0.63,liên hệ rõ
fact_delivery_details,qty_so,fact_order_lines,amount_before_discount_before_vat,29661,0.63,liên hệ rõ
fact_delivery_details,qty_so,fact_order_lines,amount_incl_vat,29661,0.63,liên hệ rõ
fact_delivery_details,qty_so,fact_order_lines,net_revenue,29661,0.63,liên hệ rõ
fact_delivery_details,qty_so,fact_order_lines,vat_amount,29661,0.63,liên hệ rõ
fact_delivery_details,attempt_count,fact_order_fulfillment,total_before_discount,25382,0.626,liên hệ rõ
fact_delivery_details,qty_received,fact_order_lines,amount_before_discount,29661,0.624,liên hệ rõ
fact_delivery_details,qty_received,fact_order_lines,amount_before_discount_before_vat,29661,0.624,liên hệ rõ
fact_delivery_details,qty_received,fact_order_lines,amount_incl_vat,29661,0.624,liên hệ rõ
fact_delivery_details,qty_received,fact_order_lines,net_revenue,29661,0.624,liên hệ rõ
fact_delivery_details,qty_received,fact_order_lines,vat_amount,29661,0.624,liên hệ rõ
fact_delivery_details,attempt_count,fact_order_lines,amount_before_discount,29661,0.623,liên hệ rõ
fact_delivery_details,attempt_count,fact_order_lines,amount_before_discount_before_vat,29661,0.623,liên hệ rõ
fact_delivery_details,qty_received,fact_order_fulfillment,item_count,25382,0.616,liên hệ rõ
