bang_1,field_1,bang_2,field_2,so_dong_chung,spearman,muc_do
dim_product_prices,tax_rate,dim_products,tax_rate,5483,1.0,liên hệ rõ
fact_order_lines,unit_price_after_discount_after_vat,dim_product_prices,price_excl_vat,5061,0.936,liên hệ rõ
fact_order_lines,unit_price_after_discount_after_vat,dim_product_prices,price_incl_vat,5061,0.936,liên hệ rõ
fact_order_lines,unit_price_after_discount_before_vat,dim_product_prices,price_excl_vat,5061,0.936,liên hệ rõ
fact_order_lines,unit_price_after_discount_before_vat,dim_product_prices,price_incl_vat,5061,0.936,liên hệ rõ
fact_order_lines,unit_price,dim_product_prices,price_excl_vat,5061,0.929,liên hệ rõ
fact_order_lines,unit_price,dim_product_prices,price_incl_vat,5061,0.929,liên hệ rõ
fact_order_lines,unit_price_before_vat,dim_product_prices,price_excl_vat,5061,0.929,liên hệ rõ
fact_order_lines,unit_price_before_vat,dim_product_prices,price_incl_vat,5061,0.929,liên hệ rõ
fact_inventory_daily_balances,import_quantity,fact_inventory_transactions,total_amount,344,0.91,liên hệ rõ
fact_inventory_daily_balances,export_quantity,fact_inventory_transactions,total_amount,344,0.904,liên hệ rõ
fact_delivery_details,qty_received,fact_order_lines,shipped_qty,1602,0.835,liên hệ rõ
fact_delivery_details,qty_so,fact_order_lines,shipped_qty,1602,0.83,liên hệ rõ
fact_delivery_details,qty_delivered,fact_order_lines,shipped_qty,1602,0.829,liên hệ rõ
fact_inventory_daily_balances,export_quantity,fact_order_lines,shipped_qty,416,0.826,liên hệ rõ
fact_delivery_details,qty_received,fact_order_lines,sales_qty,1602,0.824,liên hệ rõ
fact_inventory_daily_balances,import_quantity,fact_order_lines,shipped_qty,416,0.824,liên hệ rõ
fact_delivery_details,qty_so,fact_order_lines,sales_qty,1602,0.819,liên hệ rõ
fact_delivery_details,qty_delivered,fact_order_lines,sales_qty,1602,0.817,liên hệ rõ
fact_inventory_daily_balances,export_quantity,fact_order_lines,sales_qty,416,0.817,liên hệ rõ
fact_inventory_daily_balances,import_quantity,fact_order_lines,sales_qty,416,0.809,liên hệ rõ
fact_inventory_daily_balances,closing_quantity,fact_inventory_transactions,quantity,344,0.795,liên hệ rõ
fact_inventory_daily_balances,opening_quantity,fact_inventory_transactions,quantity,344,0.782,liên hệ rõ
fact_inventory_lot_snapshot,available_primary,fact_order_lines,shipped_qty,1279,0.779,liên hệ rõ
fact_delivery_details,qty_received,fact_inventory_lot_snapshot,available_primary,929,0.778,liên hệ rõ
fact_delivery_details,qty_so,fact_inventory_lot_snapshot,available_primary,929,0.778,liên hệ rõ
fact_inventory_daily_balances,export_quantity,fact_order_lines,sales_qty_carton,415,0.776,liên hệ rõ
fact_delivery_details,qty_delivered,fact_inventory_lot_snapshot,available_primary,929,0.773,liên hệ rõ
fact_inventory_daily_balances,import_quantity,fact_order_lines,sales_qty_carton,415,0.772,liên hệ rõ
fact_inventory_lot_snapshot,available_primary,fact_order_lines,sales_qty,1279,0.765,liên hệ rõ
fact_inventory_daily_balances,export_quantity,fact_order_lines,cancelled_qty,416,0.761,liên hệ rõ
fact_delivery_details,qty_received,fact_order_lines,sales_qty_carton,1567,0.754,liên hệ rõ
fact_delivery_details,qty_delivered,fact_order_lines,sales_qty_carton,1567,0.75,liên hệ rõ
fact_delivery_details,qty_received,fact_inventory_lot_snapshot,qty_primary,929,0.75,liên hệ rõ
fact_delivery_details,qty_so,fact_inventory_lot_snapshot,qty_primary,929,0.75,liên hệ rõ
fact_delivery_details,qty_so,fact_order_lines,sales_qty_carton,1567,0.75,liên hệ rõ
fact_inventory_lot_snapshot,volume_primary,fact_order_lines,shipped_qty,1180,0.75,liên hệ rõ
fact_delivery_details,qty_so,fact_inventory_lot_snapshot,available_package,926,0.747,liên hệ rõ
fact_inventory_lot_snapshot,volume_primary,fact_order_lines,sales_qty,1180,0.747,liên hệ rõ
fact_delivery_details,qty_received,fact_inventory_lot_snapshot,available_package,926,0.746,liên hệ rõ
fact_delivery_details,qty_delivered,fact_inventory_lot_snapshot,available_package,926,0.745,liên hệ rõ
fact_delivery_details,qty_received,fact_inventory_lot_snapshot,qty_package,926,0.745,liên hệ rõ
fact_delivery_details,qty_so,fact_inventory_lot_snapshot,qty_package,926,0.745,liên hệ rõ
fact_inventory_lot_snapshot,qty_primary,fact_order_lines,sales_qty,1291,0.745,liên hệ rõ
fact_delivery_details,attempt_count,fact_order_lines,sales_qty_carton,1567,0.744,liên hệ rõ
fact_delivery_details,qty_delivered,fact_inventory_lot_snapshot,qty_package,926,0.744,liên hệ rõ
dim_product_prices,price_excl_vat,dim_products,conversion_rate,5435,-0.744,liên hệ rõ
dim_product_prices,price_incl_vat,dim_products,conversion_rate,5435,-0.744,liên hệ rõ
fact_delivery_details,qty_delivered,fact_inventory_lot_snapshot,qty_primary,929,0.743,liên hệ rõ
fact_inventory_lot_snapshot,qty_primary,fact_order_lines,shipped_qty,1291,0.739,liên hệ rõ
fact_delivery_details,attempt_count,fact_inventory_lot_snapshot,available_package,926,0.731,liên hệ rõ
fact_inventory_lot_snapshot,volume_primary,fact_order_lines,amount_before_discount,1180,0.731,liên hệ rõ
fact_inventory_lot_snapshot,volume_primary,fact_order_lines,amount_before_discount_before_vat,1180,0.731,liên hệ rõ
fact_inventory_lot_snapshot,volume_primary,fact_order_lines,amount_incl_vat,1180,0.731,liên hệ rõ
fact_inventory_lot_snapshot,volume_primary,fact_order_lines,net_revenue,1180,0.731,liên hệ rõ
fact_inventory_lot_snapshot,volume_primary,fact_order_lines,vat_amount,1180,0.731,liên hệ rõ
fact_delivery_details,attempt_count,fact_inventory_lot_snapshot,qty_package,926,0.729,liên hệ rõ
fact_inventory_daily_balances,closing_quantity,fact_inventory_lot_snapshot,qty_primary,485,0.725,liên hệ rõ
fact_inventory_transactions,unit_price,dim_product_prices,price_excl_vat,451,0.724,liên hệ rõ
fact_inventory_transactions,unit_price,dim_product_prices,price_incl_vat,451,0.724,liên hệ rõ
fact_delivery_details,attempt_count,fact_order_lines,shipped_qty,1602,0.723,liên hệ rõ
fact_inventory_daily_balances,import_quantity,fact_order_lines,cancelled_qty,416,0.722,liên hệ rõ
fact_inventory_daily_balances,opening_quantity,fact_inventory_lot_snapshot,qty_primary,485,0.717,liên hệ rõ
fact_order_lines,unit_price,dim_products,conversion_rate,7152,-0.716,liên hệ rõ
fact_inventory_daily_balances,import_quantity,fact_inventory_lot_snapshot,available_primary,422,0.715,liên hệ rõ
fact_inventory_daily_balances,import_quantity,fact_order_lines,amount_before_discount,416,0.715,liên hệ rõ
fact_inventory_daily_balances,import_quantity,fact_order_lines,amount_before_discount_before_vat,416,0.715,liên hệ rõ
fact_inventory_daily_balances,import_quantity,fact_order_lines,amount_incl_vat,416,0.715,liên hệ rõ
fact_inventory_daily_balances,import_quantity,fact_order_lines,net_revenue,416,0.715,liên hệ rõ
