nguon,la_bang_fact,bang,cot,dang,vai_tro,khuyet_pct,so_gia_tri,luc_luong_pct,hang_so,mo_coi_pct,tre_ngay,diem_thong_tin,danh_gia,tac_dung,muc_bang_chung,cong_vo_dung,can_cu_tac_dung,day_du,cong_thieu,he_qua_neu_bo_qua,quyet_dinh_panel,phan_loai,vao_panel,viec_phai_lam
bảng phẳng,true,panel_mt,dlv_received_qty,số,đặc trưng,95.042,895.0,,false,,,0.1269,,CẦN THIẾT,ĐO ĐƯỢC,—,7/8 thước đo xếp vào nửa trên,THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",CHUYỂN THÀNH LAG,NHIỀU TÁC DỤNG · THIẾU DỮ LIỆU,true,"VẪN ĐƯA VÀO bảng phẳng, kèm cờ khuyết — rồi đi sửa nguồn. Thiếu dữ liệu là việc của nguồn, không phải lý do loại một cột có ích."
bảng phẳng,true,panel_mt,dlv_ordered_qty,số,đặc trưng,95.042,881.0,,false,,,0.125,,CẦN THIẾT,ĐO ĐƯỢC,—,7/8 thước đo xếp vào nửa trên,THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",CHUYỂN THÀNH LAG,NHIỀU TÁC DỤNG · THIẾU DỮ LIỆU,true,"VẪN ĐƯA VÀO bảng phẳng, kèm cờ khuyết — rồi đi sửa nguồn. Thiếu dữ liệu là việc của nguồn, không phải lý do loại một cột có ích."
bảng phẳng,true,panel_mt,dlv_shipped_qty,số,đặc trưng,95.042,841.0,,false,,,0.1181,,CẦN THIẾT,ĐO ĐƯỢC,—,7/8 thước đo xếp vào nửa trên,THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",CHUYỂN THÀNH LAG,NHIỀU TÁC DỤNG · THIẾU DỮ LIỆU,true,"VẪN ĐƯA VÀO bảng phẳng, kèm cờ khuyết — rồi đi sửa nguồn. Thiếu dữ liệu là việc của nguồn, không phải lý do loại một cột có ích."
bảng phẳng,true,panel_mt,supervisor_id,số,đặc trưng,96.843,77.0,,false,,,0.0392,,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `panel_mt` nối được về hạt; entropy: chưa đo,THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",BỎ,NHIỀU TÁC DỤNG · THIẾU DỮ LIỆU,true,"VẪN ĐƯA VÀO bảng phẳng, kèm cờ khuyết — rồi đi sửa nguồn. Thiếu dữ liệu là việc của nguồn, không phải lý do loại một cột có ích."
bảng phẳng,true,panel_mt,dlv_line_count,số,đặc trưng,95.042,69.0,,false,,,0.0359,,CẦN THIẾT,ĐO ĐƯỢC,—,4/8 thước đo xếp vào nửa trên,THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",CHUYỂN THÀNH LAG,NHIỀU TÁC DỤNG · THIẾU DỮ LIỆU,true,"VẪN ĐƯA VÀO bảng phẳng, kèm cờ khuyết — rồi đi sửa nguồn. Thiếu dữ liệu là việc của nguồn, không phải lý do loại một cột có ích."
bảng phẳng,true,panel_mt,asm_id,số,đặc trưng,97.413,36.0,,false,,,0.0293,,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `panel_mt` nối được về hạt; entropy: chưa đo,THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",BỎ,NHIỀU TÁC DỤNG · THIẾU DỮ LIỆU,true,"VẪN ĐƯA VÀO bảng phẳng, kèm cờ khuyết — rồi đi sửa nguồn. Thiếu dữ liệu là việc của nguồn, không phải lý do loại một cột có ích."
bảng phẳng,true,panel_mt,dlv_shipper_count,số,đặc trưng,95.042,24.0,,false,,,0.0131,,CẦN THIẾT,ĐO ĐƯỢC,—,4/8 thước đo xếp vào nửa trên,THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",CHUYỂN THÀNH LAG,NHIỀU TÁC DỤNG · THIẾU DỮ LIỆU,true,"VẪN ĐƯA VÀO bảng phẳng, kèm cờ khuyết — rồi đi sửa nguồn. Thiếu dữ liệu là việc của nguồn, không phải lý do loại một cột có ích."
file CTKM người dùng nạp,true,ctkm_dong,status_evidence,phân loại,đặc trưng,98.901,16.0,0.251,false,,,,,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `ctkm_dong` nối được về hạt; entropy: chưa đo,THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,NHIỀU TÁC DỤNG · THIẾU DỮ LIỆU,true,"VẪN ĐƯA VÀO bảng phẳng, kèm cờ khuyết — rồi đi sửa nguồn. Thiếu dữ liệu là việc của nguồn, không phải lý do loại một cột có ích."
lược đồ dwh,false,dim_stores,store_code,phân loại,khoá ngoại — dùng như biến phân loại,0.0,56390.0,18.71,false,,,2.2829,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_stores` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,true,fact_order_lines,order_code,phân loại,khoá ngoại — dùng như biến phân loại,0.0,127932.0,43.04,false,,0.0,2.1591,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `fact_order_lines` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
