bang,cot,phan_loai,diem_thong_tin,day_du,can_cu_tac_dung
fact_order_lines,order_code,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,2.1591,ĐỦ,bảng `fact_order_lines` nối được về hạt; entropy: thông tin phong phú
fact_order_lines,order_timestamp,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,2.1583,ĐỦ,bảng `fact_order_lines` nối được về hạt; entropy: thông tin phong phú
fact_order_lines,dms_order_code,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,2.0592,ĐỦ,bảng `fact_order_lines` nối được về hạt; entropy: thông tin phong phú
fact_delivery_details,delivery_note_code,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,2.0308,ĐỦ,bảng `fact_delivery_details` nối được về hạt; entropy: thông tin phong phú
fact_delivery_details,so_number,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,2.0302,ĐỦ,bảng `fact_delivery_details` nối được về hạt; entropy: thông tin phong phú
fact_inventory_lot_snapshot,lot_code,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.6739,ĐỦ,bảng `fact_inventory_lot_snapshot` nối được về hạt; entropy: thông tin phong phú
fact_delivery_details,trip_code,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.5534,ĐỦ,bảng `fact_delivery_details` nối được về hạt; entropy: thông tin phong phú
dim_employees,employee_name,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.528,ĐỦ,bảng `dim_employees` nối được về hạt; entropy: thông tin phong phú
dim_employees,employee_code,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.5271,ĐỦ,bảng `dim_employees` nối được về hạt; entropy: thông tin phong phú
dim_stores,address,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.4286,ĐỦ,bảng `dim_stores` nối được về hạt; entropy: thông tin phong phú
dim_locators,locator_code,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.3832,ĐỦ,bảng `dim_locators` nối được về hạt; entropy: thông tin phong phú
dim_locators,locator_name,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.3821,ĐỦ,bảng `dim_locators` nối được về hạt; entropy: thông tin phong phú
dim_categories,category_name,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.3511,ĐỦ,bảng `dim_categories` nối được về hạt; entropy: thông tin phong phú
