cua_hang,thuong_hieu,mat_hang,thang_khong_km,thang_co_km,sl_khong_km,sl_co_km,ty_so,giam_pct_tb
B'SMART 17 Khuông Việt,B'SMART,Sữa Tiệt Trùng Vị Dâu 200ml (24 hộp/thùng),9,2,0.0,1.5,323.74,0.2
27900 - BHX_KHH_DKH - Kho DC Mini Khánh Hòa (KGP),BHX,KEM MAGNUM DAU TAY PANNA 24X80ML/63G,3,4,0.33,104.25,312.75,0.249
B'SMART 245D Chu Văn An,B'SMART,Sữa Tiệt Trùng Vị Dâu 200ml (24 hộp/thùng),10,2,0.0,1.0,239.81,0.2
B'SMART 198/37 Nguyễn Văn Linh,B'SMART,Sữa Tiệt Trùng Vị Dâu 200ml (24 hộp/thùng),9,2,0.0,1.0,215.83,0.2
B'SMART 2A Vĩnh Hội,B'SMART,Sữa Tiệt Trùng Vị Dâu 200ml (24 hộp/thùng),9,2,0.01,1.5,161.87,0.2
Công ty TNHH Aeon Việt Nam - Chi Nhánh Thành Phố Hồ Chí Minh,AEON,Há cảo Meat Dumpling for boiling 600G (12 gói/thùng),8,5,0.03,4.8,153.66,0.205
B'SMART 99A Huỳnh Khương An,B'SMART,Sữa Tiệt Trùng Vị Dưa lưới 200ml (24 hộp/thùng),7,4,0.01,0.76,127.65,0.225
Công Ty TNHH AEON Viêt Nam,AEON,Há cảo Shrimp Dumpling 315G (24 gói/thùng),10,4,0.0,0.5,119.9,0.178
CoopMart Biên Hòa Số 121 Phạm Văn Thuận,COOPMART,Kem Melona - VN 80ml (40 cây/thùng),5,10,0.0,0.59,118.5,0.256
Winmart + 133 Nguyễn Sinh Cung,VINMART+,KEM WALLS VCAFE MOCHA CDUA T 30X60ML/52G,5,9,0.01,0.74,111.22,0.5
Satrafoods 47 Nguyên Hồng,SATRA_FOOD,CORNETTO KEM CLS CHOCBERRY 24X110ML/66G,9,4,0.0,0.5,107.91,
B'SMART 163A Tân Hòa Đông,B'SMART,Sữa Tiệt Trùng Vị Dưa lưới 200ml (24 hộp/thùng),6,3,0.01,0.68,97.92,0.233
KINGFOODMART HIM LAM PHÚ ĐÔNG,KINGFOOD,KEM WALLS AD SAU RIENG T Y23 24X60ML/58G,8,2,0.01,0.5,95.92,0.33
B'SMART Số 1 Đường số 1,B'SMART,Sữa Tiệt Trùng Vị Dâu 200ml (24 hộp/thùng),8,2,0.01,0.5,95.92,0.2
Siêu Thi Emart Sala Thủ Thiêm,EMART,KEM WALL 3VI TSUA+DUA+CAFE 6X760ML(380G),8,3,0.25,22.0,88.0,0.215
COOP - KP. Lộc An,COOPMART,KEM WALL’S WINNIE THE POOH 24X90ML/60G,11,3,0.01,0.67,87.93,0.27
Siêu Thị Emart Phan Huy Ích,EMART,KEM WALL 3VI TSUA+DUA+CAFE 6X760ML(380G),9,3,0.33,28.67,86.0,0.215
CoopMart Biên Hòa Số 121 Phạm Văn Thuận,COOPMART,Kem Samanco hiệu Binggrae 150ml (24 cái/thùng) (Strawberry),7,8,0.01,0.5,83.93,0.202
COOP - TTTM Cát Bi Plaza,COOPMART,Kem Melona 80ml (64 cây/thùng) (Strawberry),5,8,0.01,0.5,80.18,0.235
CoopMart Biên Hòa Số 121 Phạm Văn Thuận,COOPMART,Kem Samanco hiệu Binggrae 150ml (24 cái/thùng) (Chocofudge),6,9,0.01,0.56,79.94,0.22
13361 - BHX_BDU_BCA - Kho DC Mini Đông Mát Bến Cát,BHX,KEM WALLS TWISTR GRAPE LYCHEE24X55ML/55G,2,8,1.0,76.25,76.25,0.24
Vinmart + 55 Cao Thắng,VINMART+,KEM WALLS VCAFE MOCHA CDUA T 30X60ML/52G,5,8,0.01,0.5,75.08,0.5
Siêu Thị Emart Phan Huy Ích,EMART,Chả giò hải sản con tôm (16 gói/T) (400gr),4,3,0.16,11.67,74.67,0.303
14371 - BHX_BDI_QNH - Kho DC Mini Đông Mát Quy Nhơn,BHX,KEM MAGNUM DAU TAY PANNA 24X80ML/63G,3,2,1.33,99.0,74.25,0.249
28149 - BHX_NBI_DHL - Kho DC Mini Đông Mát Ninh Bình,BHX,KEM MAGNUM DAU TAY PANNA 24X80ML/63G,3,3,0.67,43.33,65.0,0.249
B'SMART 250A Ly Chinh Thang,B'SMART,Kem Samanco hiệu Binggrae 150ml (24 cái/thùng) (Chocofudge),8,3,0.01,0.33,63.95,0.211
B'SMART 17 Huỳnh Thị Phụng,B'SMART,Kem Samanco hiệu Binggrae 150ml (24 cái/thùng) (Chocofudge),8,3,0.01,0.67,63.95,0.211
"Tòa nhà 28 Tầng,Làng Quốc tế Thăng Long,Cầu Giấy .HN",VINMART,Sữa Tiệt Trùng Vị Dưa lưới 200ml (24 hộp/thùng),3,12,0.06,3.47,62.49,0.268
Siêu Thi Emart Sala Thủ Thiêm,EMART,Chả giò tôm thịt (16 gói/T) (400gr),9,3,0.33,19.33,58.0,0.303
WINMART+ số 8 Chu Huy Mân,VINMART+,KEM WALLS VCAFE MOCHA CDUA T 30X60ML/52G,5,8,0.01,0.38,56.31,0.5
