ym,so_dong,ty_le_dong_co_km,tong_luot_ctkm,giam_pct_tb,sl_tb_moi_dong,sl_tb_co_km,sl_tb_khong_km
202504,21644,0.2999,7261,0.27,4.13,4.13,4.13
202505,41526,0.5926,36578,0.3,3.3,3.67,2.75
202506,55667,0.5339,52407,0.31,2.52,3.27,1.66
202507,66651,0.5165,67038,0.33,1.82,2.61,0.97
202508,76823,0.6514,86213,0.32,1.59,2.01,0.8
202509,82836,0.7233,97986,0.31,1.25,1.43,0.76
202510,88433,0.7024,94216,0.31,1.01,1.25,0.45
202511,93015,0.7256,118872,0.32,0.98,1.23,0.35
202601,101085,0.642,82598,0.32,1.06,1.39,0.45
202602,103012,0.6299,133505,0.3,0.94,1.26,0.39
202603,105582,0.6226,96709,0.31,1.37,1.91,0.5
202604,108107,0.6473,109140,0.3,0.96,1.27,0.38
202605,111855,0.6513,110648,0.3,1.05,1.31,0.58
202606,116731,0.6112,90570,0.32,1.08,0.87,1.41
202607,102225,0.5435,77292,0.32,1.21,1.31,1.08
