ym,so_ctkm_co_fc,tong_fc,tong_ban_thuc_te,thuc_te_tren_fc_trung_vi
202504,60,9439.0,26795.13,0.82
202505,99,13063.0,90310.12,1.13
202506,86,10655.0,97221.4,1.25
202507,78,12777.64,89865.41,2.08
202508,100,10430.64,100347.9,0.29
202509,95,3370.0,85806.02,1.7
202510,105,4467.0,77682.68,1.38
202511,112,8324.5,82724.95,1.1
202601,112,35970.0,90404.23,0.3
202602,118,19920.0,81758.26,0.39
202603,111,41788.0,125371.25,0.43
202604,125,16155.0,88780.49,0.6
202605,111,4742.0,95174.15,0.53
202606,94,7695.0,62148.58,0.46
202607,88,21879.0,72585.8,0.83
