uom,so_sku,so_dong,sl_don_vi_le,sl_thung,quy_cach_min,quy_cach_max,ty_trong_theo_le,ty_trong_theo_thung
CAY,86,195396,29124149.0,1049057.8068,14.999741677604996,63.999159352686384,0.6380858023392766,0.5699876058259824
CAI,27,150502,9057647.0,384720.0754,20.0,40.0,0.19844548773943374,0.2090310688972773
HOP,89,66555,4766575.0,301643.3191,4.0,24.000022386552562,0.10443168084620558,0.16389273513122085
GOI,29,22787,1187083.0,39842.9663,12.000001549166877,36.00051536416545,0.026007997984707314,0.0216479938694855
THU,3,19175,702799.0,27305.346,12.000003756938703,30.000142941075552,0.015397739648916137,0.014835892447399942
HU,11,13653,597584.0,24868.7749,12.00000267558588,40.0,0.013092566794144415,0.013512023239515046
LOC,8,5777,75423.0,9483.625,4.0,8.0,0.001652454994301645,0.005152765341683393
LO,11,311,126824.0,3496.3042,11.999998858094553,120.00047653004437,0.0027786080134350505,0.0018996570515749074
TUY,1,2,4638.0,42.944399999999995,107.9997128652574,107.9997128652574,0.00010161470988386871,0.000023333104792670342
TUI,1,17,176.0,29.3338,5.999893879427983,5.999893879427983,3.8560131391894986e-6,0.00001593801821348612
CHA,2,2,40.0,1.8167,20.0,24.000073846381067,8.763666225430678e-7,9.870728541286923e-7
,1,3,60.0,0.0,,,1.3145499338146016e-6,0.0
