ym,so_dong,dong_co_ban,tong_sl,tong_doanh_so,so_cua_hang,ty_le_co_ban_pct,phu_mat_na_ton_pct,phu_du_lieu_ghe_pct
202504,21750,21750,2201424.0,31827553107.0,2616,100.0,0.0,93.56
202505,41682,31222,3295387.0,41827298199.92,3383,74.91,0.0,94.42
202506,55884,31678,4150506.0,43403065020.84,3535,56.69,0.0,94.77
202507,67064,33072,3003755.0,42211466842.96,3666,49.31,0.0,94.28
202508,77296,37507,3059076.0,47302608885.59,3909,48.52,0.0,93.22
202509,83341,30424,2493741.0,35567688602.58,3973,36.51,0.0,93.07
202510,88947,26560,2238996.0,36460439116.96,4043,29.86,0.0,92.67
202511,93539,23521,2270556.0,34939862938.93,4114,25.15,0.0,92.5
202512,98236,29186,3055566.0,41853623066.63,4185,29.71,0.0,91.71
202601,101596,24560,2611973.0,43059277163.93,4296,24.17,0.0,91.8
202602,103543,24066,2375276.0,35618253342.95,4297,23.24,0.0,91.42
202603,106138,30117,3569297.0,74517030409.85,4370,28.38,0.0,91.17
202604,108681,30345,2479714.0,44243625292.23,4389,27.92,0.0,90.85
202605,112399,35581,2843935.0,54595511561.57,4401,31.66,0.0,90.57
202606,117303,34562,3028418.0,56609842114.42,4407,29.46,98.2,89.76
202607,102781,30029,2965378.0,52931202913.06,3579,29.22,97.77,91.33
