mat_hang,uom,quy_cach,trong_so_theo_le,trong_so_theo_thung,doi_may_lan
KEM WALLS TOPTEN SOCOLA Y23 25X72ML/60G,CAY,25.0,0.118,0.1125,0.95
KEM WALLS TOPTEN H VANI Y23 25X72ML/60G,CAY,25.0,0.1144,0.1092,0.95
Kem Melona - VN 80ml (40 cây/thùng),CAY,40.0,0.0708,0.0422,0.6
Kem Pongta 130ml (24 cây/thùng) (Soda As,CAY,24.000015358242578,0.042,0.0417,0.99
BLINDBOX MÓC KHÓA NGỰA CORNETTO_30PCS,CAI,1.0,0.0017,0.0416,23.85
Sữa Tiệt Trùng Vị Chuối 200ml (24 hộp/th,HOP,23.999994457301607,0.0373,0.0371,0.99
Kem bánh cá trà xanh hiệu Binggrae-Saman,CAI,24.000003581905435,0.0326,0.0324,0.99
Kem bánh cá Samanco hiệu Binggrae 150ml ,CAI,24.000004853525407,0.0311,0.0309,0.99
Sữa Tiệt Trùng Vị Dưa lưới 200ml (24 hộp,HOP,23.999929884021423,0.0282,0.0281,0.99
CORNETTO KEM CLS BLCKWHITE 24X110ML(66G),CAI,24.000002359426528,0.0254,0.0253,0.99
KEM WALLS CHEESY BAR 24X78ML/72G,CAY,24.000001954596513,0.0228,0.0226,0.99
Kem Samanco hiệu Binggrae 150ml (24 cái/,CAI,24.000003572534844,0.0224,0.0223,0.99
Kem Samanco hiệu Binggrae 150ml (24 cái/,CAI,24.000003116562684,0.0209,0.0208,0.99
KEM MAGNUM ALMOND H 24X80ML (65G),CAY,24.000004510297792,0.019,0.0189,0.99
KEM WALLS XOAI NHIET DOI R 36X65ML/65G,CAY,35.99996099088438,0.0274,0.0181,0.66
KEM WALLS TOPTEN SOCOLA Y23 25X72ML/60G ,CAY,25.0,0.0185,0.0176,0.95
KEM WALLS AD KHOAI MON D Y23 24X60ML/62G,CAY,24.0000002532113,0.0156,0.0155,0.99
KEM WALL'S AD DUA NON 24X60ML(58G),CAY,23.999998913579496,0.0146,0.0145,0.99
KEM CORNETTO RYL CHOCOLUV 20X135ML/88G,CAI,20.0,0.0113,0.0135,1.19
Kem Melona 80ml (64 cây/thùng) (Strawber,CAY,63.998271010494484,0.0362,0.0135,0.37
