thuoc_do_1,thuoc_do_2,tuong_quan_thu_hang
pearson,kiem_dinh_f,0.95
spearman,thong_tin_tuong_ho,0.811
thong_tin_tuong_ho,rung_ngau_nhien,0.785
spearman_trong_cap,kiem_dinh_f,0.773
rung_ngau_nhien,hoan_vi,0.759
pearson,spearman_trong_cap,0.748
spearman,spearman_trong_cap,0.748
pearson,spearman,0.722
spearman,kiem_dinh_f,0.71
spearman,rung_ngau_nhien,0.707
thong_tin_tuong_ho,hoan_vi,0.703
spearman,hoan_vi,0.688
kiem_dinh_f,hoan_vi,0.658
spearman_trong_cap,rung_ngau_nhien,0.636
spearman_trong_cap,thong_tin_tuong_ho,0.616
pearson,hoan_vi,0.611
kiem_dinh_f,rung_ngau_nhien,0.608
spearman_trong_cap,hoan_vi,0.573
thong_tin_tuong_ho,kiem_dinh_f,0.568
pearson,rung_ngau_nhien,0.548
pearson,thong_tin_tuong_ho,0.492
