dac_trung_1,dac_trung_2,spearman
net_revenue,amount_incl_vat,1.0
net_revenue,vat_amount,1.0
amount_incl_vat,vat_amount,1.0
avg_unit_price,avg_unit_price_excl_vat,1.0
inv_line_count,inv_order_count,1.0
inv_total_amount,inv_net_revenue,1.0
in_stock_days,stock_tracked_days,0.9998
inv_total_amount,inv_vat,0.9992
inv_net_revenue,inv_vat,0.9991
promo_days,promo_day_ratio,0.999
stock_tracked_days,has_stock_data,0.9973
in_stock_days,has_stock_data,0.9971
discount_amount,discount_rate,0.9903
dlv_ordered_qty,dlv_received_qty,0.9787
purchase_count,order_count,0.9732
order_source_count,order_type_count,0.967
effective_unit_price,avg_unit_price,0.9456
effective_unit_price,avg_unit_price_excl_vat,0.9456
remaining_warehouse_count,order_source_count,0.9205
dlv_shipped_qty,dlv_received_qty,0.9149
conversion_rate,qty_per_carton,0.909
remaining_warehouse_count,order_type_count,0.9086
dlv_ordered_qty,dlv_shipped_qty,0.9079
inv_vat,inv_item_count,0.8877
inv_total_amount,inv_item_count,0.8875
inv_net_revenue,inv_item_count,0.8874
promo_max_discount_pct,promo_day_weighted_discount_pct,0.8722
inv_line_count,inv_item_count,0.8257
inv_item_count,inv_order_count,0.8257
avg_tmax,peak_tmax,0.8069
