dac_trung,vif,danh_gia
ngay_theo_doi_ton,inf,trùng lặp hoàn toàn với ngay_co_hang — bỏ bớt một cột
tien_vat,inf,trùng lặp hoàn toàn với tien_co_vat — bỏ bớt một cột
don_gia_truoc_vat_tb,inf,trùng lặp hoàn toàn với don_gia_tb — bỏ bớt một cột
ft_so_don,inf,trùng lặp hoàn toàn với ft_so_dong — bỏ bớt một cột
ft_doanh_thu_thuan,inf,trùng lặp hoàn toàn với ft_tong_tien — bỏ bớt một cột
ft_vat,inf,trùng lặp hoàn toàn với ft_tong_tien — bỏ bớt một cột
ngay_co_hang,274.311,đa cộng tuyến
co_du_lieu_ton,267.612,đa cộng tuyến
so_nguon_dat,80.061,đa cộng tuyến
so_loai_don,75.98,đa cộng tuyến
ty_le_chiet_khau,28.328,đa cộng tuyến
gh_qty_nhan,28.191,đa cộng tuyến
tien_chiet_khau,28.073,đa cộng tuyến
don_gia_tb,24.941,đa cộng tuyến
gh_qty_dat,24.704,đa cộng tuyến
gia_thuc_thu,23.55,đa cộng tuyến
doanh_so,20.877,đa cộng tuyến
tien_co_vat,19.69,đa cộng tuyến
so_don,15.374,đa cộng tuyến
so_dong_eco,12.296,đa cộng tuyến
sl_moi_lan,9.805,đa cộng tuyến
conversion_rate,9.732,đa cộng tuyến
qty_giao,9.582,đa cộng tuyến
so_lan_mua,9.331,đa cộng tuyến
ft_tong_tien,9.083,đa cộng tuyến
ft_so_mat_hang,8.69,đa cộng tuyến
qty_thung,8.247,đa cộng tuyến
qty_per_carton,7.174,đa cộng tuyến
gh_qty_giao,6.851,đa cộng tuyến
tmin_tb,5.166,đa cộng tuyến
tmax_tb,5.148,đa cộng tuyến
don_gia_do_lech,5.144,đa cộng tuyến
ngay_mua_dau_thang,5.11,đa cộng tuyến
ngay_mua_cuoi_thang,4.94,—
tmax_dinh,4.299,—
so_trang_thai_dong,4.234,—
so_dong_hang_tang,4.188,—
mua_tong,4.046,—
ft_so_dong,4.039,—
ft_chiet_khau,3.846,—
ft_doanh_thu_da_giao,3.691,—
so_ngay_mua,3.338,—
vat_pct_tb,3.146,—
ngay_ghe,3.064,—
gh_so_dong,2.76,—
phut_di_chuyen_tb,2.676,—
km_di_chuyen_tb,2.621,—
tien_ck_truoc_vat,2.552,—
qty_huy,2.248,—
gh_so_shipper,2.006,—
net_weight,1.897,—
so_ngay_lam_viec,1.775,—
so_ngay_lich,1.739,—
toc_do_ban_hieu_chinh,1.676,—
ngay_ke_hoach_ghe,1.526,—
so_nvbh_ghe,1.508,—
co_du_lieu_ghe,1.409,—
shelf_life,1.312,—
thang_tu_lan_mua_dau,1.276,—
gh_dong_kho_xac_nhan,1.276,—
ty_le_tuan_thu,1.238,—
ck_pct_do_lech_chuan,1.226,—
so_tu_dong,1.172,—
phut_lam_viec_tb,1.145,—
sla_giao_ngay_tb,1.141,—
so_kho_con,1.137,—
cach_ngay_giao_tb,1.106,—
ngay_het_hang,1.085,—
gh_so_lan_thu_tb,1.075,—
so_kho_xuat,1.054,—
so_dong_admin_huy,1.002,—
