dac_trung,loai,so_dong,tuong_quan_diem_nhi_phan,thong_tin_tuong_ho_bit
purchase_count,nhãn viết cách khác,300000,0.4896,0.9264
order_count,biết sau kỳ,300000,0.4635,0.9264
issuing_warehouse_count,biết sau kỳ,300000,0.9992,0.9264
remaining_warehouse_count,biết sau kỳ,300000,0.9799,0.9264
order_source_count,biết sau kỳ,300000,0.9835,0.9264
order_type_count,biết sau kỳ,300000,0.9821,0.9264
line_status_count,biết sau kỳ,300000,0.9384,0.9264
adjusted_sales_rate,nhãn viết cách khác,46478,0.1115,0.8639
eco_line_count,biết sau kỳ,300000,0.405,0.8066
sales_qty_carton,nhãn viết cách khác,300000,0.0367,0.7521
vat_amount,biết sau kỳ,300000,0.0704,0.6955
net_revenue,nhãn viết cách khác,300000,0.0719,0.6952
amount_incl_vat,biết sau kỳ,300000,0.0719,0.6952
shipped_qty,biết sau kỳ,300000,0.0207,0.6947
discount_amount,biết sau kỳ,300000,0.0135,0.3015
months_since_first_purchase,biết trước kỳ,300000,-0.2085,0.1665
inv_item_count,biết sau kỳ,264611,0.1793,0.0831
inv_vat,biết sau kỳ,264611,0.0648,0.0682
inv_discount,biết sau kỳ,264611,0.0681,0.0659
inv_total_amount,biết sau kỳ,264611,0.0891,0.0658
inv_net_revenue,biết sau kỳ,264611,0.0889,0.0655
inv_line_count,biết sau kỳ,264611,0.2279,0.0556
inv_order_count,biết sau kỳ,264611,0.2279,0.0556
inv_delivered_revenue,biết sau kỳ,264611,0.0502,0.0251
promo_max_discount_pct,biết trước kỳ,174771,-0.1032,0.0207
promo_day_weighted_discount_pct,biết trước kỳ,174771,-0.1116,0.0195
avg_tmax,biết trước kỳ,299725,0.0963,0.015
avg_tmin,biết trước kỳ,299725,0.1103,0.0143
total_rainfall,biết trước kỳ,299725,0.1105,0.0134
peak_tmax,biết trước kỳ,299725,0.0868,0.0108
rain_days,biết trước kỳ,299725,0.1032,0.0097
net_weight,biết trước kỳ,299959,0.0497,0.0095
promo_budget,biết trước kỳ,190481,-0.0648,0.0089
working_days,biết trước kỳ,300000,0.0248,0.0085
visit_days,biết sau kỳ,300000,-0.0353,0.0085
discount_excl_vat,biết sau kỳ,300000,0.0134,0.0067
conversion_rate,biết trước kỳ,299991,0.0052,0.0062
avg_work_minutes,biết sau kỳ,128382,0.0947,0.0059
dlv_shipper_count,biết sau kỳ,14901,0.0502,0.005
promo_forecast_qty,biết trước kỳ,190481,-0.0269,0.0049
planned_visit_days,biết trước kỳ,132449,0.0887,0.0043
calendar_days,biết trước kỳ,300000,0.048,0.0033
qty_per_carton,biết trước kỳ,299991,0.0052,0.0026
freezer_count,biết trước kỳ,300000,0.0118,0.0025
qty_per_purchase,nhãn viết cách khác,103292,0.0005,0.0018
shelf_life,biết trước kỳ,299991,0.0194,0.0017
dlv_line_count,biết sau kỳ,14901,0.0297,0.0017
promo_days,biết trước kỳ,298492,0.0312,0.0015
dlv_shipped_qty,biết sau kỳ,14901,0.0168,0.0013
stock_tracked_days,biết sau kỳ,300000,-0.0377,0.0012
in_stock_days,biết sau kỳ,300000,-0.037,0.0011
avg_travel_km,biết sau kỳ,132449,0.0082,0.0009
dlv_received_qty,biết sau kỳ,14901,0.0152,0.0008
dlv_ordered_qty,biết sau kỳ,14901,0.0156,0.0007
promo_day_ratio,biết trước kỳ,298492,0.0292,0.0006
avg_travel_minutes,biết sau kỳ,132449,-0.0007,0.0005
visit_compliance_rate,biết sau kỳ,132449,0.0267,0.0005
visiting_rep_count,biết sau kỳ,132449,0.0357,0.0004
promo_count,biết trước kỳ,298492,0.0089,0.0003
first_purchase_day,biết sau kỳ,103292,-0.0074,0.0002
last_purchase_day,biết sau kỳ,103292,-0.0004,0.0002
avg_unit_price,biết sau kỳ,103292,-0.0001,0.0001
avg_unit_price_excl_vat,biết sau kỳ,103292,-0.0001,0.0001
unit_price_stddev,biết sau kỳ,103292,0.0043,0.0001
avg_vat_rate,biết sau kỳ,103292,0.0031,0.0001
effective_unit_price,nhãn viết cách khác,103236,,0.0
discount_rate,biết sau kỳ,103000,,0.0
avg_delivery_sla_days,biết sau kỳ,2432,,0.0
avg_days_to_delivery,biết sau kỳ,18963,,0.0
has_stock_data,biết sau kỳ,300000,-0.0382,
stockout_days,biết sau kỳ,300000,-0.0143,
has_visit_data,biết sau kỳ,300000,0.0027,
tax_rate,biết trước kỳ,300000,,
free_line_count,biết sau kỳ,300000,0.1177,
discount_pct_stddev,biết sau kỳ,103292,0.0039,
canceled_qty,biết sau kỳ,300000,0.0253,
admin_canceled_line_count,biết sau kỳ,300000,0.0044,
dlv_avg_attempts,biết sau kỳ,14901,-0.0396,
dlv_warehouse_confirmed_lines,biết sau kỳ,14901,-0.0079,
promo_has_price_cut,biết trước kỳ,298492,-0.0099,
promo_has_free_goods,biết trước kỳ,298492,0.0172,
promo_has_gift,biết trước kỳ,298492,0.0024,
has_promo_data,biết trước kỳ,299882,-0.0125,
