dac_trung,loai,pearson,hang_pearson,spearman,hang_spearman,spearman_trong_cap,hang_spearman_trong_cap,thong_tin_tuong_ho,hang_thong_tin_tuong_ho,kiem_dinh_f,hang_kiem_dinh_f,rung_ngau_nhien,hang_rung_ngau_nhien,hoan_vi,hang_hoan_vi,hang_dong_thuan,bat_dong,ghi_chu
shipped_qty,biết sau kỳ,0.997,1,0.9019,1,0.8732,5,2.8416,1,80974114.5091,1,0.4287,2,0.5103,1,1.17,1,—
sales_qty_carton,nhãn viết cách khác,0.893,2,0.7928,3,0.9868,1,1.8841,6,1818277.815,3,0.4688,1,0.4923,2,2.83,5,—
qty_per_purchase,nhãn viết cách khác,0.8387,3,0.8574,2,0.6248,8,2.388,5,5709712.6234,2,0.091,3,0.0006,9,4.0,7,—
net_revenue,nhãn viết cách khác,0.1431,10,0.6269,4,0.887,2,2.4287,3,927.9102,7,0.0013,5,0.0026,5,5.67,7,—
amount_incl_vat,biết sau kỳ,0.141,12,0.6268,6,0.8866,4,2.4561,2,797.8738,11,0.0007,8,0.0029,4,7.17,10,—
vat_amount,biết sau kỳ,0.0844,21,0.6269,5,0.8868,3,2.4069,4,82.6184,28,0.0012,6,0.0032,3,11.17,25,—
inv_net_revenue,biết sau kỳ,0.1593,7,0.2784,17,0.312,12,0.4122,17,914.883,8,0.0004,11,0.0015,7,11.17,10,—
eco_line_count,biết sau kỳ,0.1662,6,0.4363,9,0.5442,9,0.3031,24,1132.2163,6,0.0001,20,0.0005,12,12.83,18,—
inv_total_amount,biết sau kỳ,0.1581,8,0.2784,16,0.3124,11,0.4091,18,897.927,10,0.0001,23,0.0005,10,14.17,15,—
inv_vat,biết sau kỳ,0.0917,20,0.2786,15,0.3159,10,0.4063,19,274.944,20,0.0008,7,0.0003,16,16.17,13,—
order_count,biết sau kỳ,0.1909,4,0.4664,7,0.6708,6,0.2828,25,1486.8103,4,0.0001,31,-0.0001,31,17.0,27,—
purchase_count,nhãn viết cách khác,0.1846,5,0.4494,8,0.6398,7,0.2575,26,1402.3911,5,0.0,39,0.0001,28,18.5,34,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
canceled_qty,biết sau kỳ,0.143,11,0.114,44,0.1534,26,0.1038,44,614.8003,13,0.0032,4,0.0018,6,20.33,40,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
qty_per_carton,biết trước kỳ,0.0107,45,0.3068,13,0.003,75,0.9077,10,22.6219,37,0.0002,14,0.0003,14,22.17,35,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
inv_item_count,biết sau kỳ,0.1522,9,0.1758,28,0.2514,17,0.1398,38,911.8142,9,0.0001,27,0.0002,22,22.17,29,—
dlv_ordered_qty,biết sau kỳ,0.1026,18,0.2735,19,0.3012,13,0.2062,30,478.5705,16,0.0,42,0.0004,13,23.0,29,—
inv_discount,biết sau kỳ,0.1398,13,0.1742,29,0.1517,27,0.3412,22,635.4504,12,0.0004,10,0.0,53,23.17,43,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
effective_unit_price,nhãn viết cách khác,-0.0111,44,-0.3647,12,-0.0725,43,1.3102,7,6.4163,45,0.0003,12,-0.0002,20,23.33,38,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
conversion_rate,biết trước kỳ,0.0107,46,0.3008,14,,,0.6451,14,22.6211,38,0.0002,13,0.0002,19,24.0,33,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
