dac_trung,loai,pearson,hang_pearson,spearman,hang_spearman,spearman_trong_cap,hang_spearman_trong_cap,thong_tin_tuong_ho,hang_thong_tin_tuong_ho,kiem_dinh_f,hang_kiem_dinh_f,rung_ngau_nhien,hang_rung_ngau_nhien,hoan_vi,hang_hoan_vi,hang_dong_thuan,bat_dong,ghi_chu
purchase_count,nhãn viết cách khác,0.4885,6,0.9819,6,0.9029,6,0.6451,8,37647.488,6,0.1037,3,0.0,2,5.17,6,—
issuing_warehouse_count,biết sau kỳ,0.9991,1,0.9995,1,0.9993,1,0.6531,1,90602260.6766,1,0.0424,10,0.0,43,9.5,42,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
order_type_count,biết sau kỳ,0.9819,3,0.9973,3,0.9919,3,0.6524,2,3339217.8881,3,0.12,2,0.0,46,9.83,44,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
order_source_count,biết sau kỳ,0.983,2,0.9974,2,0.9923,2,0.6522,4,3566858.0311,2,0.0749,6,0.0,45,10.17,43,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
remaining_warehouse_count,biết sau kỳ,0.9801,4,0.9972,4,0.9911,4,0.6523,3,3070758.1199,4,0.055,8,0.0,44,11.17,41,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
order_count,biết sau kỳ,0.4624,7,0.9814,7,0.8984,7,0.6452,7,32656.3069,7,0.1556,1,0.0,42,11.83,41,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
line_status_count,biết sau kỳ,0.9386,5,0.9928,5,0.97,5,0.6476,5,893138.8001,5,0.1024,4,0.0,47,11.83,43,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
sales_qty_carton,nhãn viết cách khác,0.0598,37,0.9719,8,0.8172,9,0.6453,6,1895.5315,19,0.1004,5,0.0,1,12.67,36,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
net_revenue,nhãn viết cách khác,0.0729,31,0.9689,9,0.8079,10,0.6384,10,392.4664,40,0.0527,9,0.0,4,17.17,36,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
eco_line_count,biết sau kỳ,0.4066,8,0.9441,12,0.8457,8,0.5671,18,22618.392,8,0.0078,14,0.0,49,18.17,41,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
months_since_first_purchase,biết trước kỳ,-0.2125,13,-0.2421,24,-0.232,22,0.1208,26,5660.757,13,0.0035,18,0.0,20,19.0,13,—
discount_rate,biết sau kỳ,0.3112,9,0.1989,29,0.1398,27,0.2596,20,13228.4094,9,0.0013,22,0.0,29,19.67,20,—
amount_incl_vat,biết sau kỳ,0.0719,33,0.9689,10,0.8079,11,0.6385,9,392.5045,39,0.0687,7,0.0,34,22.0,32,—
unit_price_stddev,biết sau kỳ,0.2338,12,0.3882,14,0.2393,19,0.0849,30,6979.5496,12,0.0002,28,0.0,39,22.5,27,—
shipped_qty,biết sau kỳ,0.0346,49,0.94,13,0.7795,13,0.5709,17,1725.0421,22,0.0364,11,0.0,32,24.0,38,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
vat_amount,biết sau kỳ,0.0442,41,0.9667,11,0.8078,12,0.6317,11,392.7755,38,0.0331,12,0.0,35,24.67,30,—
inv_item_count,biết sau kỳ,0.1933,14,0.3236,16,0.2803,15,0.0862,29,4582.2229,16,0.0008,24,0.0,58,26.17,44,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
effective_unit_price,nhãn viết cách khác,0.1753,15,-0.0081,70,-0.0768,36,0.6123,12,4482.2662,17,0.0036,17,0.0,27,26.33,58,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
inv_order_count,biết sau kỳ,0.2517,11,0.2797,21,0.1856,24,0.0536,33,7780.2507,11,0.0003,27,0.0,60,27.17,49,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
inv_net_revenue,biết sau kỳ,0.1019,25,0.2876,19,0.2388,20,0.1343,24,1101.7465,30,0.0009,23,0.0,55,29.33,36,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
avg_unit_price,biết sau kỳ,0.0377,45,0.0334,50,-0.0629,39,0.5807,16,4754.1224,14,0.0054,16,0.0,37,29.67,36,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
avg_unit_price_excl_vat,biết sau kỳ,0.0351,48,0.0334,51,-0.0622,40,0.5811,15,4754.0715,15,0.0057,15,0.0,38,30.33,36,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
free_line_count,biết sau kỳ,0.1042,22,0.2165,26,0.1852,25,0.0269,47,1406.6699,25,0.0,36,0.0,30,31.0,25,—
inv_line_count,biết sau kỳ,0.2517,10,0.2797,20,0.1856,23,0.0526,34,7780.2507,10,0.0,67,0.0,53,32.33,57,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
qty_per_purchase,nhãn viết cách khác,0.0072,74,-0.1014,36,0.0775,34,0.376,19,329.7342,43,0.0028,20,0.0,3,32.5,71,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
avg_vat_rate,biết sau kỳ,0.111,20,0.2646,23,0.0775,35,0.0591,31,1691.7541,23,0.0,59,0.0,40,32.67,39,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
last_purchase_day,biết sau kỳ,-0.1049,21,0.0069,72,-0.024,53,0.5967,13,1333.2436,26,0.0159,13,0.0,51,32.67,59,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
inv_total_amount,biết sau kỳ,0.102,24,0.288,18,0.2397,18,0.135,22,1109.2675,29,0.0,55,0.0,54,33.67,37,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
inv_vat,biết sau kỳ,0.0679,35,0.2929,17,0.2505,17,0.135,23,501.2709,37,0.0,34,0.0,57,33.83,40,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
inv_discount,biết sau kỳ,0.0777,29,0.2768,22,0.2685,16,0.1294,25,756.6593,33,0.0,43,0.0,56,34.67,34,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
first_purchase_day,biết sau kỳ,0.0951,26,-0.0004,81,0.0244,50,0.5959,14,1165.9666,28,0.0032,19,0.0,50,36.33,67,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
avg_tmin,biết trước kỳ,0.1229,17,0.1194,34,0.0998,32,0.05,35,1800.4309,20,0.0,46,0.0,69,36.83,52,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
avg_tmax,biết trước kỳ,0.1042,23,0.0772,41,0.0753,37,0.0543,32,1285.1273,27,0.0,32,0.0,68,37.17,45,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
discount_pct_stddev,biết sau kỳ,0.1339,16,0.1541,31,0.3089,14,0.0131,60,2144.0558,18,0.0,76,0.0,31,38.67,60,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
total_rainfall,biết trước kỳ,0.1222,18,0.1307,32,0.1249,28,0.0492,36,1739.6896,21,0.0,58,0.0,71,39.33,53,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
calendar_days,biết trước kỳ,0.0592,38,0.0374,48,0.0423,45,0.0125,62,391.541,41,0.0,49,0.0,5,40.5,57,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
rain_days,biết trước kỳ,0.1169,19,0.1208,33,0.1077,31,0.0176,58,1633.4808,24,0.0,37,0.0,72,40.5,53,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
peak_tmax,biết trước kỳ,0.0938,27,0.0834,37,0.0668,38,0.0245,50,1016.2329,31,0.0,30,0.0,70,40.83,43,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
avg_work_minutes,biết sau kỳ,0.0292,57,0.0363,49,0.008,63,0.0319,41,146.3272,51,0.0,33,0.0,15,41.0,42,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
canceled_qty,biết sau kỳ,0.0286,58,0.2009,27,0.1101,30,0.0228,52,169.4544,50,0.0003,26,0.0,33,41.0,32,—
discount_amount,biết sau kỳ,0.0041,77,0.1989,28,0.1715,26,0.2579,21,15.1303,75,0.0023,21,0.0,28,41.67,56,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
discount_excl_vat,biết sau kỳ,0.0038,78,0.3616,15,0.237,21,0.0945,28,15.1985,74,0.0007,25,0.0,36,42.67,63,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
promo_day_weighted_discount_pct,biết trước kỳ,-0.0775,30,-0.0805,38,0.0361,47,0.0366,39,747.1861,34,0.0,40,0.0,77,43.0,47,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
adjusted_sales_rate,nhãn viết cách khác,0.0315,55,0.2279,25,,,0.0314,42,141.1057,52,0.0,72,0.0,19,44.17,53,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
working_days,biết trước kỳ,0.0393,43,0.0258,57,0.0124,59,0.0124,63,170.4435,49,0.0,50,0.0,6,44.67,57,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
net_weight,biết trước kỳ,0.0496,39,0.0716,42,0.0086,62,0.0203,56,295.9154,44,0.0,65,0.0,23,44.83,42,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
planned_visit_days,biết trước kỳ,0.0354,47,0.0401,46,0.0209,56,0.0091,70,201.8306,48,0.0,47,0.0,12,45.0,58,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
