dac_trung,loai,TRUOC_01_2026,SAU_01_2026,chenh_lech_giua_hai_che_do,canh_bao
adjusted_sales_rate,nhãn viết cách khác,,0.4069,,—
admin_canceled_line_count,biết sau kỳ,0.0006,0.0065,0.0059,—
amount_incl_vat,biết sau kỳ,0.8904,0.8982,0.0078,—
avg_days_to_delivery,biết sau kỳ,-0.0251,0.0638,0.0889,—
avg_delivery_sla_days,biết sau kỳ,,-0.02,,—
avg_tmax,biết trước kỳ,0.1087,0.0982,-0.0105,—
avg_tmin,biết trước kỳ,0.1268,0.1244,-0.0024,—
avg_travel_km,biết sau kỳ,,0.029,,—
avg_travel_minutes,biết sau kỳ,,-0.0415,,—
avg_unit_price,biết sau kỳ,-0.0471,-0.1358,-0.0887,—
avg_unit_price_excl_vat,biết sau kỳ,-0.0466,-0.135,-0.0884,—
avg_vat_rate,biết sau kỳ,0.1243,0.025,-0.0993,—
avg_work_minutes,biết sau kỳ,,0.021,,—
calendar_days,biết trước kỳ,0.0381,0.0005,-0.0376,—
canceled_qty,biết sau kỳ,0.1036,0.2297,0.1261,—
conversion_rate,biết trước kỳ,,,,—
discount_amount,biết sau kỳ,0.0947,0.2184,0.1237,—
discount_excl_vat,biết sau kỳ,0.208,0.2229,0.0149,—
discount_pct_stddev,biết sau kỳ,0.0973,0.2357,0.1384,—
discount_rate,biết sau kỳ,0.013,0.047,0.034,—
dlv_avg_attempts,biết sau kỳ,,0.0225,,—
dlv_line_count,biết sau kỳ,,0.2697,,—
dlv_ordered_qty,biết sau kỳ,,0.4167,,—
dlv_received_qty,biết sau kỳ,,0.4147,,—
dlv_shipped_qty,biết sau kỳ,,0.378,,—
dlv_shipper_count,biết sau kỳ,,0.2332,,—
dlv_warehouse_confirmed_lines,biết sau kỳ,,0.069,,—
eco_line_count,biết sau kỳ,0.6815,0.4988,-0.1827,đổi độ lớn
effective_unit_price,nhãn viết cách khác,-0.0559,-0.115,-0.0591,—
first_purchase_day,biết sau kỳ,-0.2344,-0.2524,-0.018,—
free_line_count,biết sau kỳ,0.0053,0.2215,0.2162,đổi độ lớn
freezer_count,biết trước kỳ,,,,—
has_promo_data,biết trước kỳ,,,,—
has_stock_data,biết sau kỳ,,0.0992,,—
has_visit_data,biết sau kỳ,,,,—
in_stock_days,biết sau kỳ,,0.1051,,—
inv_delivered_revenue,biết sau kỳ,0.0908,0.2501,0.1593,đổi độ lớn
inv_discount,biết sau kỳ,0.2707,0.1073,-0.1634,đổi độ lớn
inv_item_count,biết sau kỳ,0.2735,0.2617,-0.0118,—
inv_line_count,biết sau kỳ,0.2266,0.2217,-0.0049,—
inv_net_revenue,biết sau kỳ,0.3332,0.2868,-0.0464,—
inv_order_count,biết sau kỳ,0.2266,0.2217,-0.0049,—
inv_total_amount,biết sau kỳ,0.3334,0.2868,-0.0466,—
inv_vat,biết sau kỳ,0.3344,0.2866,-0.0478,—
issuing_warehouse_count,biết sau kỳ,0.0198,0.0243,0.0045,—
last_purchase_day,biết sau kỳ,0.183,0.2029,0.0199,—
line_status_count,biết sau kỳ,0.2521,0.3494,0.0973,—
months_since_first_purchase,biết trước kỳ,-0.1291,0.1396,0.2687,ĐỔI DẤU
net_revenue,nhãn viết cách khác,0.8906,0.8995,0.0089,—
net_weight,biết trước kỳ,0.0019,0.0031,0.0012,—
order_count,biết sau kỳ,0.6814,0.71,0.0286,—
order_source_count,biết sau kỳ,0.016,0.2138,0.1978,đổi độ lớn
order_type_count,biết sau kỳ,0.016,0.2182,0.2022,đổi độ lớn
peak_tmax,biết trước kỳ,0.1143,0.0861,-0.0282,—
planned_visit_days,biết trước kỳ,,0.0156,,—
promo_budget,biết trước kỳ,0.0515,0.0166,-0.0349,—
promo_count,biết trước kỳ,0.054,0.0557,0.0017,—
promo_day_ratio,biết trước kỳ,0.0706,0.05,-0.0206,—
promo_day_weighted_discount_pct,biết trước kỳ,0.0768,0.0618,-0.015,—
promo_days,biết trước kỳ,0.0715,0.0519,-0.0196,—
promo_forecast_qty,biết trước kỳ,-0.0447,-0.0361,0.0086,—
promo_has_free_goods,biết trước kỳ,0.0925,0.0596,-0.0329,—
promo_has_gift,biết trước kỳ,0.0105,0.0283,0.0178,—
promo_has_price_cut,biết trước kỳ,-0.0116,0.0116,0.0232,—
promo_max_discount_pct,biết trước kỳ,0.0849,0.0561,-0.0288,—
purchase_count,nhãn viết cách khác,0.6525,0.6772,0.0247,—
qty_per_carton,biết trước kỳ,-0.0008,-0.0037,-0.0029,—
qty_per_purchase,nhãn viết cách khác,0.6245,0.5632,-0.0613,—
rain_days,biết trước kỳ,0.0794,0.0982,0.0188,—
remaining_warehouse_count,biết sau kỳ,0.016,0.2399,0.2239,đổi độ lớn
sales_qty_carton,nhãn viết cách khác,0.9903,0.9924,0.0021,—
shelf_life,biết trước kỳ,,,,—
shipped_qty,biết sau kỳ,0.9821,0.7486,-0.2335,đổi độ lớn
stock_tracked_days,biết sau kỳ,,0.1051,,—
stockout_days,biết sau kỳ,,0.0326,,—
tax_rate,biết trước kỳ,,,,—
total_rainfall,biết trước kỳ,0.068,0.1166,0.0486,—
unit_price_stddev,biết sau kỳ,0.2294,0.2256,-0.0038,—
vat_amount,biết sau kỳ,0.8904,0.8976,0.0072,—
visit_compliance_rate,biết sau kỳ,,0.0116,,—
visit_days,biết sau kỳ,-0.0059,0.0292,0.0351,—
visiting_rep_count,biết sau kỳ,,0.0154,,—
working_days,biết trước kỳ,-0.0233,-0.0045,0.0188,—
