dac_trung,loai,so_dong,spearman_gop,spearman_trong_cap,chenh_lech
sales_qty_carton,nhãn viết cách khác,474180,0.7949,0.9868,-0.1919
net_revenue,nhãn viết cách khác,474180,0.6315,0.8883,-0.2567
vat_amount,biết sau kỳ,474180,0.6315,0.888,-0.2565
amount_incl_vat,biết sau kỳ,474180,0.6315,0.8879,-0.2564
shipped_qty,biết sau kỳ,474180,0.8917,0.8651,0.0265
order_count,biết sau kỳ,474180,0.4677,0.6681,-0.2004
purchase_count,nhãn viết cách khác,474180,0.4509,0.6377,-0.1868
qty_per_purchase,nhãn viết cách khác,474180,0.8549,0.6268,0.2281
eco_line_count,biết sau kỳ,474180,0.4272,0.5328,-0.1056
dlv_ordered_qty,biết sau kỳ,65951,0.8327,0.3572,0.4755
dlv_received_qty,biết sau kỳ,65951,0.8372,0.3556,0.4816
adjusted_sales_rate,nhãn viết cách khác,64295,0.9346,0.3505,0.5841
dlv_shipped_qty,biết sau kỳ,65951,0.7463,0.3247,0.4216
inv_vat,biết sau kỳ,470641,0.2775,0.3147,-0.0372
inv_total_amount,biết sau kỳ,470641,0.2777,0.3121,-0.0344
inv_net_revenue,biết sau kỳ,470641,0.2777,0.3117,-0.034
line_status_count,biết sau kỳ,474180,0.2652,0.2912,-0.026
inv_item_count,biết sau kỳ,470641,0.1766,0.2512,-0.0747
dlv_line_count,biết sau kỳ,65951,0.44,0.2358,0.2042
first_purchase_day,biết sau kỳ,474180,-0.2078,-0.2234,-0.0155
unit_price_stddev,biết sau kỳ,474179,0.2665,0.2111,0.0554
inv_line_count,biết sau kỳ,470641,0.1284,0.2048,-0.0764
inv_order_count,biết sau kỳ,470641,0.1284,0.2048,-0.0764
dlv_shipper_count,biết sau kỳ,65951,0.3036,0.2039,0.0997
last_purchase_day,biết sau kỳ,474180,0.1639,0.1798,-0.0158
canceled_qty,biết sau kỳ,474180,0.1194,0.1611,-0.0417
discount_pct_stddev,biết sau kỳ,474180,0.1086,0.1595,-0.0509
remaining_warehouse_count,biết sau kỳ,474180,0.1564,0.1528,0.0036
discount_excl_vat,biết sau kỳ,474180,-0.025,0.1504,-0.1254
order_type_count,biết sau kỳ,474180,0.1465,0.1416,0.0049
order_source_count,biết sau kỳ,474180,0.1438,0.1386,0.0052
inv_discount,biết sau kỳ,470641,0.1542,0.1375,0.0168
discount_amount,biết sau kỳ,474180,-0.0503,0.1335,-0.0832
inv_delivered_revenue,biết sau kỳ,470641,0.1207,0.1103,0.0104
avg_tmin,biết trước kỳ,473897,0.0691,0.1071,-0.038
avg_tmax,biết trước kỳ,473897,0.0234,0.0925,-0.0691
peak_tmax,biết trước kỳ,473897,0.0562,0.0918,-0.0357
free_line_count,biết sau kỳ,474180,0.1709,0.0841,0.0869
avg_vat_rate,biết sau kỳ,474180,0.1688,0.0837,0.0851
in_stock_days,biết sau kỳ,474180,0.0477,0.0799,-0.0322
stock_tracked_days,biết sau kỳ,474180,0.0477,0.0799,-0.0322
promo_has_free_goods,biết trước kỳ,471060,0.1824,0.0788,0.1036
has_stock_data,biết sau kỳ,474180,0.0468,0.0776,-0.0308
effective_unit_price,nhãn viết cách khác,474180,-0.3636,-0.0771,0.2865
avg_unit_price_excl_vat,biết sau kỳ,474180,-0.3972,-0.0711,0.3262
avg_unit_price,biết sau kỳ,474179,-0.3972,-0.0705,0.3267
promo_max_discount_pct,biết trước kỳ,279324,0.1924,0.0639,0.1285
promo_day_weighted_discount_pct,biết trước kỳ,279324,0.1839,0.06,0.1239
dlv_warehouse_confirmed_lines,biết sau kỳ,65951,0.0958,0.0598,0.036
promo_days,biết trước kỳ,471060,0.1779,0.0575,0.1204
rain_days,biết trước kỳ,473897,0.019,0.0564,-0.0374
promo_day_ratio,biết trước kỳ,471060,0.1763,0.0563,0.12
total_rainfall,biết trước kỳ,473897,0.0205,0.0546,-0.0341
avg_days_to_delivery,biết sau kỳ,87141,0.0219,0.0543,-0.0323
discount_rate,biết sau kỳ,473056,-0.0581,0.0532,0.0049
promo_count,biết trước kỳ,471060,0.1904,0.0504,0.14
avg_travel_minutes,biết sau kỳ,175633,0.0688,-0.0421,0.0267
promo_forecast_qty,biết trước kỳ,306703,0.0284,-0.0323,-0.0039
avg_travel_km,biết sau kỳ,175633,0.1205,0.0287,0.0918
promo_budget,biết trước kỳ,306703,0.025,0.027,-0.0021
promo_has_gift,biết trước kỳ,471060,0.034,0.0239,0.01
avg_work_minutes,biết sau kỳ,171738,0.1053,0.0228,0.0825
dlv_avg_attempts,biết sau kỳ,65951,0.0273,0.021,0.0063
visiting_rep_count,biết sau kỳ,175633,0.0492,0.0205,0.0287
issuing_warehouse_count,biết sau kỳ,474180,0.0381,0.0194,0.0187
avg_delivery_sla_days,biết sau kỳ,11146,0.077,-0.018,0.0589
stockout_days,biết sau kỳ,474180,0.0137,0.0172,-0.0035
working_days,biết trước kỳ,474180,-0.0013,-0.0169,-0.0156
planned_visit_days,biết trước kỳ,175633,0.0992,0.0164,0.0828
months_since_first_purchase,biết trước kỳ,474180,0.0103,-0.0107,-0.0004
calendar_days,biết trước kỳ,474180,0.0302,0.0094,0.0209
visit_compliance_rate,biết sau kỳ,175633,-0.0187,-0.0074,0.0113
promo_has_price_cut,biết trước kỳ,471060,-0.0121,-0.0046,0.0075
qty_per_carton,biết trước kỳ,474177,0.2997,0.004,0.2957
net_weight,biết trước kỳ,474155,-0.2097,0.0032,0.2065
admin_canceled_line_count,biết sau kỳ,474180,-0.0058,0.0022,0.0035
visit_days,biết sau kỳ,474180,-0.0278,0.0001,0.0277
has_visit_data,biết sau kỳ,474180,-0.1568,,
freezer_count,biết trước kỳ,474180,-0.065,,
shelf_life,biết trước kỳ,474177,0.1111,,
conversion_rate,biết trước kỳ,474177,0.2947,,
tax_rate,biết trước kỳ,474180,,,
has_promo_data,biết trước kỳ,473923,0.0253,,
