hang,truong,dang,loai,so_gia_tri_khac_nhau,khuyet_pct,thong_tin_tuong_ho_bit,phan_bat_dinh_giai_thich,ghi_chu
1,shipped_qty,số,biết sau kỳ,786,0.0,1.5373,0.9942,—
2,amount_incl_vat,số,biết sau kỳ,8527,0.0,1.4498,0.9376,—
3,net_revenue,số,nhãn viết cách khác,7834,0.0,1.4404,0.9316,—
4,vat_amount,số,biết sau kỳ,8304,0.0,1.4263,0.9224,—
5,sales_qty_carton,số,nhãn viết cách khác,1052,0.0,1.2924,0.8358,—
6,qty_per_purchase,số,nhãn viết cách khác,1368,65.516,1.1903,0.7699,—
7,effective_unit_price,số,nhãn viết cách khác,4785,65.534,1.024,0.6623,—
8,avg_unit_price,số,biết sau kỳ,2127,65.516,0.9532,0.6165,—
9,avg_unit_price_excl_vat,số,biết sau kỳ,2289,65.516,0.9515,0.6154,—
10,order_count,số,biết sau kỳ,38,0.0,0.7377,0.4771,—
11,purchase_count,số,nhãn viết cách khác,28,0.0,0.73,0.4721,—
12,salesman_id,số,định danh,292,65.516,0.6774,0.4381,"ĐỊNH DANH — điểm là do ghi nhớ, không phải sức dự báo"
13,line_status_count,số,biết sau kỳ,7,0.0,0.6643,0.4296,—
14,eco_line_count,số,biết sau kỳ,50,0.0,0.6572,0.4251,—
15,remaining_warehouse_count,số,biết sau kỳ,5,0.0,0.6494,0.42,—
16,order_type_count,số,biết sau kỳ,4,0.0,0.6478,0.419,—
17,order_source_count,số,biết sau kỳ,3,0.0,0.6474,0.4187,—
18,issuing_warehouse_count,số,biết sau kỳ,3,0.0,0.6435,0.4162,—
19,has_purchase,số,biết sau kỳ,2,0.0,0.6415,0.4149,—
20,last_purchase_day,số,biết sau kỳ,32,65.516,0.6112,0.3953,—
21,first_purchase_day,số,biết sau kỳ,32,65.516,0.6027,0.3898,—
22,discount_rate,số,biết sau kỳ,4158,65.612,0.5064,0.3275,—
23,discount_amount,số,biết sau kỳ,2504,0.0,0.4937,0.3193,—
24,product_code,phân loại,biết trước kỳ,253,0.0,0.3484,0.2254,—
25,product_name,phân loại,biết trước kỳ,253,0.0,0.3484,0.2254,—
26,product_key,số,định danh,253,0.0,0.3385,0.2189,"ĐỊNH DANH — điểm là do ghi nhớ, không phải sức dự báo"
27,qty_per_carton,số,biết trước kỳ,175,0.004,0.3321,0.2148,—
28,net_weight,số,biết trước kỳ,118,0.013,0.2936,0.1899,—
29,brand_id,số,định danh,64,0.0,0.2724,0.1761,"ĐỊNH DANH — điểm là do ghi nhớ, không phải sức dự báo"
30,inv_total_amount,số,biết sau kỳ,36616,11.822,0.2473,0.1599,—
31,discount_excl_vat,số,biết sau kỳ,2479,0.0,0.2463,0.1593,—
32,inv_net_revenue,số,biết sau kỳ,36724,11.822,0.2461,0.1592,—
33,inv_vat,số,biết sau kỳ,35242,11.822,0.2443,0.158,—
34,conversion_rate,số,biết trước kỳ,21,0.004,0.2288,0.148,—
35,inv_discount,số,biết sau kỳ,29723,11.822,0.2088,0.135,—
36,store_name,phân loại,biết trước kỳ,5045,0.0,0.1984,0.1283,lực lượng quá cao — gần như định danh từng dòng
37,store_code,phân loại,biết trước kỳ,5048,0.0,0.1983,0.1283,lực lượng quá cao — gần như định danh từng dòng
38,site_number,phân loại,biết trước kỳ,5048,0.0,0.1983,0.1283,lực lượng quá cao — gần như định danh từng dòng
39,unit_price_stddev,số,biết sau kỳ,1390,65.516,0.1905,0.1232,—
40,adjusted_sales_rate,số,nhãn viết cách khác,495,84.546,0.1863,0.1205,—
41,store_key,số,định danh,5048,0.0,0.1777,0.115,"ĐỊNH DANH — điểm là do ghi nhớ, không phải sức dự báo"
42,promo_budget,số,biết trước kỳ,896,36.52,0.1764,0.1141,—
43,promo_day_weighted_discount_pct,số,biết trước kỳ,496,41.715,0.1714,0.1109,—
44,store_brand_code,phân loại,biết trước kỳ,34,0.035,0.162,0.1048,—
45,inv_delivered_revenue,số,biết sau kỳ,19959,11.822,0.1519,0.0982,—
46,category_id,số,định danh,25,0.0,0.1491,0.0964,"ĐỊNH DANH — điểm là do ghi nhớ, không phải sức dự báo"
47,category_code,số,biết trước kỳ,25,0.0,0.1478,0.0956,—
48,store_system,số,biết trước kỳ,33,0.0,0.1345,0.087,—
49,months_since_first_purchase,số,biết trước kỳ,16,0.0,0.1289,0.0834,—
50,inv_item_count,số,biết sau kỳ,476,11.822,0.1288,0.0833,—
51,dlv_received_qty,số,biết sau kỳ,330,95.043,0.1269,0.0821,—
52,dlv_ordered_qty,số,biết sau kỳ,326,95.043,0.125,0.0808,—
53,dlv_shipped_qty,số,biết sau kỳ,314,95.043,0.1181,0.0764,—
54,promo_max_discount_pct,số,biết trước kỳ,160,41.715,0.1166,0.0754,—
55,avg_tmax,số,biết trước kỳ,961,0.094,0.1067,0.069,—
56,avg_tmin,số,biết trước kỳ,971,0.094,0.1055,0.0682,—
57,total_rainfall,số,biết trước kỳ,948,0.094,0.0998,0.0646,—
58,uom,phân loại,biết trước kỳ,10,0.004,0.0992,0.0642,—
59,promo_day_ratio,số,biết trước kỳ,82,0.501,0.0942,0.0609,—
60,inv_line_count,số,biết sau kỳ,60,11.822,0.0909,0.0588,—
61,inv_order_count,số,biết sau kỳ,60,11.822,0.0907,0.0587,—
62,avg_vat_rate,số,biết sau kỳ,103,65.516,0.082,0.0531,—
63,pjp_route,phân loại,biết trước kỳ,101,4.128,0.0792,0.0512,—
64,promo_forecast_qty,số,biết trước kỳ,128,36.52,0.0731,0.0473,—
65,canceled_qty,số,biết sau kỳ,197,0.0,0.0673,0.0435,—
66,ym,số,định danh,16,0.0,0.0642,0.0415,"ĐỊNH DANH — điểm là do ghi nhớ, không phải sức dự báo"
67,promo_days,số,biết trước kỳ,33,0.501,0.0636,0.0412,—
68,avg_days_to_delivery,số,biết sau kỳ,285,93.733,0.0589,0.0381,—
69,supplier_id,số,định danh,15,0.004,0.0581,0.0376,"ĐỊNH DANH — điểm là do ghi nhớ, không phải sức dự báo"
70,free_line_count,số,biết sau kỳ,28,0.0,0.0573,0.037,—
71,route_rep_id,số,định danh,75,4.128,0.0563,0.0364,"ĐỊNH DANH — điểm là do ghi nhớ, không phải sức dự báo"
72,peak_tmax,số,biết trước kỳ,164,0.094,0.0558,0.0361,—
73,channel_name,phân loại,biết trước kỳ,6,0.0,0.0479,0.031,—
74,channel_code,số,biết trước kỳ,6,0.0,0.0478,0.0309,—
75,shelf_life,số,biết trước kỳ,10,0.004,0.0401,0.0259,—
76,supervisor_id,số,định danh,74,96.861,0.0392,0.0254,"ĐỊNH DANH — điểm là do ghi nhớ, không phải sức dự báo"
77,city_name,phân loại,biết trước kỳ,63,0.0,0.0388,0.0251,—
78,site_domain_path,phân loại,biết trước kỳ,63,0.0,0.0388,0.0251,—
79,avg_work_minutes,số,biết sau kỳ,14071,57.136,0.0371,0.024,—
80,dlv_line_count,số,biết sau kỳ,45,95.043,0.0359,0.0232,—
81,promo_has_free_goods,số,biết trước kỳ,3,0.501,0.034,0.022,—
82,avg_travel_km,số,biết sau kỳ,6745,55.798,0.0297,0.0192,—
83,asm_id,số,định danh,35,97.428,0.0293,0.019,"ĐỊNH DANH — điểm là do ghi nhớ, không phải sức dự báo"
84,rain_days,số,biết trước kỳ,31,0.094,0.0291,0.0188,—
85,avg_travel_minutes,số,biết sau kỳ,9082,55.798,0.0282,0.0182,—
86,discount_pct_stddev,số,biết sau kỳ,222,65.516,0.0268,0.0173,—
87,serving_warehouse_key,số,định danh,7,0.0,0.0255,0.0165,"ĐỊNH DANH — điểm là do ghi nhớ, không phải sức dự báo"
